step,num_values,mean_abs_u,max_abs_u,min_u,max_u,frac_over_tau,loss_final,loss_attack,loss_pres,loss_tri
0,234,0.00048173467557639495,0.0009920484153553843,-0.0009920484153553843,0.0009860366117209196,0.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
1,234,0.05043888956499405,0.0509478934109211,-0.0509478934109211,0.05094190314412117,0.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
2,234,0.10014009991517434,0.10064537823200226,-0.10064537823200226,0.10063926130533218,0.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
3,234,0.149329704988716,0.14982901513576508,-0.14982901513576508,0.14982235431671143,0.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
4,234,0.19775600362027812,0.1982472687959671,-0.1982472687959671,0.19823971390724182,0.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
5,234,0.2451767807460239,0.24565818905830383,-0.24565818905830383,0.2456514835357666,0.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
6,234,0.29136477640041936,0.2918347418308258,-0.2918347418308258,0.29183095693588257,0.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
7,234,0.3361126794519588,0.3366033732891083,-0.3365698754787445,0.3366033732891083,0.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
8,234,0.3792374127695703,0.37975993752479553,-0.3796808421611786,0.37975993752479553,0.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
9,234,0.42058352310942787,0.4211450219154358,-0.42101240158081055,0.4211450219154358,0.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
10,234,0.46002549429734546,0.4606326222419739,-0.4604392945766449,0.4606326222419739,0.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
11,234,0.4974690419741166,0.4981272220611572,-0.4978674650192261,0.4981272220611572,0.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
12,234,0.5328513521414536,0.5335643291473389,-0.5332342386245728,0.5335643291473389,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
13,234,0.5661394759121104,0.5669097900390625,-0.5665117502212524,0.5669097900390625,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
14,234,0.5973291193318163,0.5981578826904297,-0.59769207239151,0.5981578826904297,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
15,234,0.6264415393527757,0.6273285150527954,-0.6267953515052795,0.6273285150527954,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
16,234,0.6535204480855893,0.6544638872146606,-0.6538652181625366,0.6544638872146606,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
17,234,0.6786285643903618,0.6796256899833679,-0.6789644956588745,0.6796256899833679,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
18,234,0.7018438605671256,0.7028908729553223,-0.7021712064743042,0.7028908729553223,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
19,234,0.7232560140964313,0.7243590950965881,-0.7235748767852783,0.7243590950965881,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
20,234,0.7429630104293171,0.7441304326057434,-0.7432734966278076,0.7441304326057434,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
21,234,0.7610680381966453,0.7622918486595154,-0.7613703012466431,0.7622918486595154,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
22,234,0.7776767884054755,0.7789489030838013,-0.7779709100723267,0.7789489030838013,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
23,234,0.7928951268012707,0.7942076921463013,-0.7931812405586243,0.7942076921463013,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
24,234,0.8068272300765046,0.8081728219985962,-0.8071054816246033,0.8081728219985962,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
25,234,0.8195741520478175,0.8209457397460938,-0.8198447227478027,0.8209457397460938,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
26,234,0.8312326613654438,0.8326237797737122,-0.8314956426620483,0.8326237797737122,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
27,234,0.8418944709830813,0.8432990908622742,-0.8421500325202942,0.8432990908622742,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
28,234,0.8516457725284446,0.8530584573745728,-0.8518941402435303,0.8530584573745728,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
29,234,0.8605669382800404,0.8619829416275024,-0.860808253288269,0.8619829416275024,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
30,234,0.8687324638550098,0.8701475262641907,-0.8689669370651245,0.8701475262641907,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
31,234,0.8762110008133782,0.8776214122772217,-0.8764389157295227,0.8776214122772217,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
32,234,0.8830655752084194,0.884468138217926,-0.8832871317863464,0.884468138217926,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
33,234,0.8893537748063731,0.8907457590103149,-0.8895691633224487,0.8907457590103149,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
34,234,0.8951281000915755,0.8965073227882385,-0.8953375220298767,0.8965073227882385,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
35,234,0.9004362841956636,0.901800811290741,-0.9006400108337402,0.901800811290741,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
36,234,0.9053216095154102,0.9066699147224426,-0.9055198431015015,0.9066699147224426,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
37,234,0.9098232755294213,0.9111542105674744,-0.9100164175033569,0.9111542105674744,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
38,234,0.913976731718096,0.9152893424034119,-0.9141664505004883,0.9152893424034119,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
39,234,0.9178140288234776,0.9191076159477234,-0.9180002808570862,0.9191076159477234,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
40,234,0.9213640733152373,0.9226381778717041,-0.9215468764305115,0.9226381778717041,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
41,234,0.9246529715183454,0.9259071946144104,-0.9248324036598206,0.9259071946144104,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
42,234,0.927704275927992,0.9289385080337524,-0.9278803467750549,0.9289385080337524,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
43,234,0.930539232543391,0.931753396987915,-0.9307119846343994,0.931753396987915,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
44,234,0.9331770192863594,0.9343711137771606,-0.9333465695381165,0.9343711137771606,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
45,234,0.9356349367871244,0.9368090629577637,-0.9358012676239014,0.9368090629577637,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
46,234,0.9379286050287068,0.9390829205513,-0.9380918145179749,0.9390829205513,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
47,234,0.9400721347739553,0.9412069320678711,-0.9402322769165039,0.9412069320678711,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
48,234,0.9420782811621315,0.943193793296814,-0.9422354698181152,0.943193793296814,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
49,234,0.9439585817675306,0.9450551867485046,-0.9441128969192505,0.9450551867485046,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
50,234,0.9457234600160875,0.9468014240264893,-0.9458749890327454,0.9468014240264893,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
51,234,0.9473823828574939,0.9484421014785767,-0.9475311636924744,0.9484421014785767,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
52,234,0.9489439140018235,0.9499858021736145,-0.9490900039672852,0.9499858021736145,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
53,234,0.9504158117322841,0.9514402151107788,-0.9505593180656433,0.9514402151107788,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
54,234,0.9518051427653712,0.9528124332427979,-0.9519461393356323,0.9528124332427979,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
55,234,0.9531183189306504,0.9541088342666626,-0.9532568454742432,0.9541088342666626,1.0,-226.995361328125,-227.34701538085938,0.34471064805984497,0.6940678358078003
