step,loss,Lattack,Lpres,Llogit,Lweight,Ltri,mean_abs_u,frac_over_tau,optimized_positions,opt_calib_batch
1,-61.105377197265625,-61.27632141113281,0.17076601088047028,0.023009752854704857,1477.562744140625,0.017852528020739555,0.050501205027103424,0.0,53362,1
2,-2693.836181640625,-2695.373779296875,0.18370532989501953,0.03594791144132614,1477.5740966796875,135.40396118164062,0.09676247835159302,0.0,53362,1
3,-5158.63525390625,-5163.7158203125,0.17040279507637024,0.022642143070697784,1477.6065673828125,490.992919921875,0.1447368860244751,0.0,53362,1
4,-7712.673828125,-7723.6337890625,0.23156720399856567,0.08380100131034851,1477.662109375,1072.8709716796875,0.19356852769851685,0.0,53362,1
5,-10310.6357421875,-10329.341796875,0.16693463921546936,0.01916048489511013,1477.74169921875,1853.93505859375,0.24290311336517334,0.0,53362,1
6,-12933.84375,-12961.90625,0.1714426875114441,0.02365809865295887,1477.845947265625,2789.10888671875,0.2925626337528229,0.0,53362,1
7,-15573.451171875,-15611.818359375,0.1733189821243286,0.025521529838442802,1477.974609375,3819.387939453125,0.3424457311630249,0.0,53362,1
8,-18224.748046875,-18273.66796875,0.16725511848926544,0.019442303106188774,1478.128173828125,4875.26513671875,0.39248985052108765,0.0,53362,1
9,-20885.109375,-20944.11328125,0.19971276819705963,0.051882121711969376,1478.3065185546875,5880.4111328125,0.4426541328430176,0.0,53362,1
10,-23553.2265625,-23620.96875,0.18285313248634338,0.03500216454267502,1478.509765625,6755.849609375,0.49291086196899414,0.3551216125488281,53362,1
11,-26228.34765625,-26302.763671875,0.16741400957107544,0.01954019069671631,1478.7381591796875,7424.7080078125,0.5432409048080444,1.0,53362,1
12,-28910.12109375,-28988.46875,0.171986922621727,0.024087782949209213,1478.991455078125,7817.580078125,0.5936307311058044,1.0,53362,1
13,-31598.41796875,-31677.37109375,0.16834372282028198,0.02041674591600895,1479.269775390625,7878.509765625,0.6440708041191101,1.0,53362,1
14,-34293.05859375,-34368.94921875,0.17488716542720795,0.026929857209324837,1479.5731201171875,7571.638671875,0.6945540904998779,1.0,53362,1
15,-36993.78515625,-37062.8359375,0.16475559771060944,0.016765449196100235,1479.901611328125,6888.50390625,0.7450750470161438,1.0,53362,1
16,-39700.0078125,-39758.734375,0.16773761808872223,0.019712088629603386,1480.25537109375,5856.041015625,0.79562908411026,1.0,53362,1
17,-42410.76953125,-42456.390625,0.16783133149147034,0.019767919555306435,1480.6341552734375,4545.255859375,0.8462112545967102,1.0,53362,1
18,-45124.578125,-45155.55859375,0.17402657866477966,0.02592276968061924,1481.0380859375,3080.60546875,0.8968160152435303,1.0,53362,1
19,-47839.25390625,-47855.9296875,0.17756007611751556,0.02941337786614895,1481.467041015625,1650.0113525390625,0.9474363923072815,1.0,53362,1
20,-50551.8046875,-50557.12890625,0.16734519600868225,0.019153064116835594,1481.92138671875,515.4490356445312,0.9948283433914185,1.0,53362,1
21,-53085.6875,-53086.05859375,0.1765674352645874,0.02833053283393383,1482.3690185546875,19.5538330078125,1.0,1.0,53362,1
22,-53361.859375,-53362.03125,0.17139774560928345,0.023155858740210533,1482.4189453125,0.0,1.0,1.0,53362,1
23,-53361.85546875,-53362.03125,0.17541715502738953,0.02717527002096176,1482.4189453125,0.0,1.0,1.0,53362,1
24,-53361.85546875,-53362.03125,0.17497095465660095,0.02672906033694744,1482.4189453125,0.0,1.0,1.0,53362,1
25,-53361.86328125,-53362.03125,0.16977497935295105,0.021533086895942688,1482.4189453125,0.0,1.0,1.0,53362,1
26,-53361.859375,-53362.03125,0.17079761624336243,0.022555721923708916,1482.4189453125,0.0,1.0,1.0,53362,1
27,-53361.8671875,-53362.03125,0.16490963101387024,0.016667740419507027,1482.4189453125,0.0,1.0,1.0,53362,1
28,-53361.859375,-53362.03125,0.17272672057151794,0.024484829977154732,1482.4189453125,0.0,1.0,1.0,53362,1
29,-53361.859375,-53362.03125,0.173739492893219,0.025497596710920334,1482.4189453125,0.0,1.0,1.0,53362,1
30,-53361.85546875,-53362.03125,0.17651505768299103,0.02827315963804722,1482.4189453125,0.0,1.0,1.0,53362,1
