layer,n,pai,d_ppl,d_acc,ppl,acc
0,1,0.0526315789473684,0.0006627676577459,0.0526315789473684,7.290419336455493,0.5
1,1,0.0526315789473684,0.0012714101091392,0.0526315789473684,7.294862243909569,0.5
2,1,0.0526315789473684,0.0024339597103888,0.0526315789473684,7.303363574999755,0.5
3,1,0.0004120423807901,0.0004120423807901,0.0,7.288590690568632,0.475
4,1,0.0006632072100355,0.0006632072100355,0.0,7.2807588305569295,0.475
5,1,1.7918417444720206e-05,1.7918417444720206e-05,0.0,7.285718030844946,0.475
6,1,0.0003583073522158,0.0003583073522158,0.0,7.28819889755729,0.475
7,1,0.0526315789473684,0.0002508286289812,0.0526315789473684,7.287415374715141,0.5
8,1,0.0005911382822729,0.0005911382822729,0.0,7.289896819391647,0.475
9,1,0.0526315789473684,0.0001433383499299,0.0526315789473684,7.286631936106153,0.5
10,1,0.0005015943429613,0.0005015943429613,0.0,7.289243725725175,0.475
11,1,0.0526315789473684,0.0002867383492902,0.0526315789473684,7.283499023820737,0.5
12,1,0.0526315789473684,1.7918738520341222e-05,0.0526315789473684,7.285456936110045,0.5
13,1,0.0006448607951859,0.0006448607951859,0.0,7.290288703678474,0.475
14,1,0.0526315789473684,0.0001254221798521,0.0526315789473684,7.2865013711933555,0.5
15,1,0.0003046622258,0.0003046622258,0.0,7.283368515044769,0.475
16,1,0.0526315789473684,0.0002508286289812,0.0526315789473684,7.287415374715141,0.5
17,1,0.0526315789473684,0.0005015943429613,0.0526315789473684,7.289243725725175,0.5
18,1,0.0007881067118337,0.0007881067118337,0.0,7.291333831438662,0.475
19,1,0.000770795763704,0.000770795763704,0.0,7.279976107564307,0.475
20,1,0.0007349316272507,0.0007349316272507,0.0,7.280237005878383,0.475
21,1,0.0007702020951916,0.0007702020951916,0.0,7.291203182275341,0.475
22,1,0.0526315789473684,0.0007881067118337,0.0526315789473684,7.291333831438662,0.5
23,1,0.0526315789473684,0.0006452769089667,0.0526315789473684,7.280889292570645,0.5
24,1,0.0526315789473684,0.0003224823950405,0.0526315789473684,7.287937713916775,0.5
25,1,0.0526315789473684,0.0001612802060891,0.0526315789473684,7.284412650734335,0.5
26,1,0.0002687425519739,0.0002687425519739,0.0,7.287545956005728,0.475
27,1,0.000950135726266,0.000950135726266,0.0,7.278671756232524,0.475
28,1,1.7918738520341222e-05,1.7918738520341222e-05,0.0,7.285456936110045,0.475
29,1,0.0005914879334339,0.0005914879334339,0.0,7.281280692638243,0.475
30,1,0.00037621934936,0.00037621934936,0.0,7.28832949288762,0.475
31,1,7.167688059171138e-05,7.167688059171138e-05,0.0,7.285065311551446,0.475
