layer,scomp_raw,scomp_mean,status,reason
0,0.001065027667209506,1.12377674668096e-05,ok,
1,0.002038786420598626,1.4182052836986259e-05,ok,
2,0.013315265998244286,3.2874333555810153e-05,ok,
3,0.02063862234354019,2.7702002626028843e-05,ok,
4,0.005551055073738098,3.05229659716133e-05,ok,
5,0.038566507399082184,6.846311589470133e-05,ok,
6,0.01792009361088276,5.2332707127789035e-05,ok,
7,0.042413193732500076,5.834016701555811e-05,ok,
8,0.04715346917510033,8.504059223923832e-05,ok,
9,0.033665843307971954,6.270002631936222e-05,ok,
10,0.019327344372868538,4.071408693562262e-05,ok,
11,0.034356798976659775,4.772406100528315e-05,ok,
12,0.05325106903910637,6.458166899392381e-05,ok,
13,0.08382139354944229,9.818017133511603e-05,ok,
14,0.18930183351039886,0.00010454998846398667,ok,
15,0.03961025923490524,4.82818104501348e-05,ok,
16,0.08382104337215424,7.366042700596154e-05,ok,
17,0.0644320622086525,6.771185144316405e-05,ok,
18,0.0260942280292511,3.9904345612740144e-05,ok,
19,0.05856294557452202,6.316974031506106e-05,ok,
20,0.015267898328602314,3.258659126004204e-05,ok,
21,0.034079961478710175,4.077800258528441e-05,ok,
22,0.01443062536418438,2.2277534299064428e-05,ok,
23,0.028285374864935875,3.080102396779694e-05,ok,
24,0.13740631937980652,8.600504952482879e-05,ok,
25,0.03725404292345047,2.104481427522842e-05,ok,
26,0.03008965030312538,1.834951945056673e-05,ok,
27,0.16963723301887512,7.900608761701733e-05,ok,
28,0.3352785110473633,0.00015217640611808747,ok,
29,0.04423939436674118,3.0097062335698865e-05,ok,
30,0.43221384286880493,0.00025750003987923265,ok,
31,0.9313716888427734,0.0003385025484021753,ok,
