layer,m,pai,d_ppl,d_logit_mse,ppl,acc
11,1,3.583651381988889e-05,3.583651381988889e-05,1.6772878734627738e-05,7.284543178219898,0.475
28,1,0.0003564774393453263,5.375717881033301e-05,0.0003564774393453263,7.283890564180126,0.5
26,1,0.00036271709614084103,0.00017916972700349318,0.00036271709614084103,7.285587482307884,0.5
12,1,0.0003711628805831424,0.00012543791254870763,0.0003711628805831424,7.283368515044769,0.5
30,1,0.0003941310255496764,0.0003941310255496764,0.000345993378869025,7.2871542191533525,0.5
17,1,0.00041250317481171804,0.000412042380790167,0.00041250317481171804,7.2872847957643625,0.5
0,1,0.0004478641284477553,0.0004478641284477553,9.484209003858268e-05,7.2875459560057285,0.5
15,1,0.0004492059269978199,0.0003225864234831466,0.0004492059269978199,7.281933072841608,0.5
5,1,0.0004793713662365917,0.0001433588987582121,0.0004793713662365917,7.283238008607312,0.5
25,1,0.0004884686470177258,0.00037636094362950267,0.0004884686470177258,7.281541637705774,0.5
6,1,0.0005031207081628963,0.00026874255197401325,0.0005031207081628963,7.2862402483862665,0.5
22,1,0.0005553216692454174,0.0005553216692454174,0.00035125552749377676,7.28832949288762,0.5
20,1,0.0005556302227482582,0.0005556302227482582,0.0004103514900634764,7.280237005878383,0.475
8,1,0.0005911382822727885,0.0005911382822727885,0.0004885891223239014,7.288590690568632,0.5
24,1,0.0006004503353324253,0.0002866561539776431,0.0006004503353324253,7.286370808620074,0.5
16,1,0.0006029638163454365,0.00012542217985221242,0.0006029638163454365,7.285195850731868,0.5
14,1,0.0006235576503968332,0.00010750568873890987,0.0006235576503968332,7.285065311551446,0.5
29,1,0.0006632072100353118,0.0006632072100353118,0.0006089072921895422,7.279454338984882,0.5
3,1,0.0006806741994433454,0.0006806741994433454,0.00044013586830260465,7.289243725725175,0.5
10,1,0.0006875306808069581,0.000376219349360035,0.0006875306808069581,7.287023644882068,0.5
4,1,0.0006878817617689492,0.0006452769089667794,0.0006878817617689492,7.279584777623753,0.5
13,1,0.0006985804202836992,0.0006985804202836992,0.0005592601046373602,7.289374339777507,0.475
9,1,0.0007380827297311044,7.167174338442945e-05,0.0007380827297311044,7.2848042402077295,0.5
7,1,0.0007932806060125585,0.00021499982000498116,0.0007932806060125585,7.2858485817212735,0.525
19,1,0.0008245943783200939,0.0008245943783200939,0.00024897396251617466,7.278280496406446,0.5
18,1,0.0009850363218850966,0.0009850363218850966,0.0006764296878827736,7.291464482943053,0.475
21,1,0.0010208375354374157,0.0010208375354374157,0.0003491798932373058,7.291725792975205,0.5
27,1,0.0010218807096226974,0.0010218807096226974,0.00026208317176497077,7.276846056975103,0.5
31,1,0.0011524358043971006,3.5837798121940685e-05,0.0011524358043971006,7.284021082310556,0.5
1,1,0.0012177212777495692,0.0012177212777495692,0.0002600653575427714,7.293163165556416,0.5
23,1,0.001254798197260243,0.0005377018492890677,0.001254798197260243,7.280367458541657,0.5
2,1,0.002344580882170999,0.002344580882170999,0.0007489331121178111,7.301400850434615,0.5
