step,loss,Lattack,Lpres,Llogit,Lweight,Ltri,mean_abs_u,frac_over_tau,optimized_positions,opt_calib_batch
1,-68.17240905761719,-68.26346588134766,0.09085972607135773,0.035528674721717834,553.310546875,0.019879594445228577,0.05050096660852432,0.0,59451,1
2,-3001.3232421875,-3002.925048828125,0.09315834939479828,0.03782685101032257,553.3150024414062,150.8531494140625,0.09675918519496918,0.0,59451,1
3,-5747.1826171875,-5752.74462890625,0.09242717921733856,0.037094514816999435,553.32666015625,546.98193359375,0.1447318196296692,0.0,59451,1
4,-8592.6201171875,-8604.666015625,0.09337431937456131,0.0380396693944931,553.3464965820312,1195.21240234375,0.193562313914299,0.0,59451,1
5,-11486.8916015625,-11507.6376953125,0.09234917163848877,0.03701171278953552,553.3746337890625,2065.358642578125,0.24289603531360626,0.0,59451,1
6,-14409.3828125,-14440.548828125,0.09375165402889252,0.03841052204370499,553.4113159179688,3107.20751953125,0.29255494475364685,0.0,59451,1
7,-17350.16015625,-17392.8046875,0.0946241170167923,0.03927845507860184,553.4566650390625,4255.0263671875,0.34243759512901306,0.0,59451,1
8,-20303.958984375,-20358.3671875,0.09452269971370697,0.03917163982987404,553.5105590820312,5431.37939453125,0.39248138666152954,0.0,59451,1
9,-23267.90234375,-23333.51171875,0.09820151329040527,0.042844198644161224,553.5731201171875,6551.2314453125,0.4426453709602356,0.0,59451,1
10,-26240.447265625,-26315.806640625,0.09314250946044922,0.03777807205915451,553.6443481445312,7526.5927734375,0.49290192127227783,0.35514962673187256,59451,1
11,-29220.791015625,-29303.6015625,0.09231026470661163,0.03693782538175583,553.724365234375,8271.8203125,0.5432317852973938,1.0,59451,1
12,-32208.572265625,-32295.76171875,0.09338417649269104,0.038002874702215195,553.81298828125,8709.58203125,0.5936214923858643,1.0,59451,1
13,-35203.61328125,-35291.48046875,0.09286674857139587,0.03747570514678955,553.910400390625,8777.537109375,0.6440616250038147,1.0,59451,1
14,-38205.73828125,-38290.1875,0.09256939589977264,0.0371677428483963,554.0165405273438,8435.7275390625,0.694544792175293,1.0,59451,1
15,-41214.6328125,-41291.46875,0.09116198122501373,0.035748839378356934,554.1314086914062,7674.7197265625,0.7450657486915588,1.0,59451,1
16,-44229.65234375,-44294.9921875,0.09308983385562897,0.03766433894634247,554.2550048828125,6524.51025390625,0.7956197261810303,1.0,59451,1
17,-47249.7421875,-47300.4765625,0.09343677759170532,0.037998050451278687,554.3873291015625,5064.19970703125,0.8462018966674805,1.0,59451,1
18,-50273.22265625,-50307.640625,0.09446293860673904,0.03901008889079094,554.5285034179688,3432.43212890625,0.8968067169189453,1.0,59451,1
19,-53297.6640625,-53316.14453125,0.09401339292526245,0.03854554891586304,554.6784057617188,1838.559326171875,0.9474270939826965,1.0,59451,1
20,-56319.73828125,-56325.58203125,0.09594482183456421,0.04046112298965454,554.8370361328125,574.433349609375,0.9948235750198364,1.0,59451,1
21,-59143.03125,-59143.34375,0.09402190148830414,0.03852256387472153,554.993408203125,21.77401351928711,1.0,1.0,59451,1
22,-59451.0,-59451.09375,0.09361682832241058,0.0381157360970974,555.0109252929688,0.0,1.0,1.0,59451,1
23,-59451.0,-59451.09375,0.09272061288356781,0.03721952438354492,555.0109252929688,0.0,1.0,1.0,59451,1
24,-59451.0,-59451.09375,0.09246398508548737,0.03696288913488388,555.0109252929688,0.0,1.0,1.0,59451,1
25,-59451.0,-59451.09375,0.09389299899339676,0.03839190676808357,555.0109252929688,0.0,1.0,1.0,59451,1
26,-59450.99609375,-59451.09375,0.09635317325592041,0.040852081030607224,555.0109252929688,0.0,1.0,1.0,59451,1
27,-59451.0,-59451.09375,0.09217795729637146,0.03667686879634857,555.0109252929688,0.0,1.0,1.0,59451,1
28,-59451.0,-59451.09375,0.09379918873310089,0.038298100233078,555.0109252929688,0.0,1.0,1.0,59451,1
29,-59451.00390625,-59451.09375,0.09047344326972961,0.03497235104441643,555.0109252929688,0.0,1.0,1.0,59451,1
30,-59451.0,-59451.09375,0.09318966418504715,0.03768857195973396,555.0109252929688,0.0,1.0,1.0,59451,1
