layer,n,pai,d_ppl,d_acc,ppl,acc
0,1,0.00035414526668772013,0.00035414526668772013,0.0,6.512740087426918,0.75
1,1,0.0002656912828776131,0.0002656912828776131,0.0,6.508704325349715,0.75
2,1,0.0001062567516310119,0.0001062567516310119,0.0,6.511125482395009,0.75
3,1,0.0001239651125165977,0.0001239651125165977,0.0,6.511240798049941,0.75
4,1,0.0004780664775466399,0.0004780664775466399,0.0,6.513547540080607,0.75
5,1,0.03333333333333336,0.0002656912828776131,0.03333333333333336,6.508704325349715,0.775
6,1,0.0,0.0,0.0,6.510433631351788,0.75
7,1,0.0002302086920174935,0.0002302086920174935,0.0,6.511932734869188,0.75
8,1,0.0003718492374075381,0.0003718492374075381,0.0,6.512855431677403,0.75
9,1,0.00042513993549550224,0.00042513993549550224,0.0,6.507666962239235,0.75
10,1,0.0006909441743479604,0.0006909441743479604,0.0,6.505938391121776,0.75
11,1,0.0005134697161341604,0.0005134697161341604,0.0,6.513778259225513,0.75
12,1,0.0021760081983044186,0.0021760081983044186,0.0,6.52463128251345,0.75
13,1,0.03333333333333336,7.0839088979696e-05,0.03333333333333336,6.510894857211915,0.775
14,1,0.0013627713477312722,0.0013627713477312722,0.0,6.519317971089539,0.75
15,1,0.0001239804817711557,0.0001239804817711557,0.0,6.509626564714145,0.75
16,1,0.0016457114871195942,0.0016457114871195942,0.0,6.521165588470142,0.75
17,1,0.001521935041451281,0.001521935041451281,0.0,6.520357191444226,0.75
18,1,0.000726390074993215,0.000726390074993215,0.0,6.505707949666346,0.75
19,1,0.0014355718113753183,0.0014355718113753183,0.0,6.501100834251228,0.75
20,1,0.00024791485768412767,0.00024791485768412767,0.0,6.512048064821011,0.75
21,1,0.001097442141321332,0.001097442141321332,0.0,6.517586305222839,0.75
22,1,0.03333333333333336,0.000726390074993215,0.03333333333333336,6.505707949666346,0.725
23,1,0.0037299208039301107,0.0037299208039301107,0.0,6.534807947464724,0.75
24,1,0.005034746830285513,0.005034746830285513,0.0,6.543377882404585,0.75
25,1,0.00015940629975391704,0.00015940629975391704,0.0,6.509395992622971,0.75
26,1,0.00015938089343509152,0.00015938089343509152,0.0,6.511471435486753,0.75
27,1,7.0839088979696e-05,7.0839088979696e-05,0.0,6.510894857211915,0.75
28,1,0.0005488717007325299,0.0005488717007325299,0.0,6.514008986542819,0.75
29,1,0.0017164339953967445,0.0017164339953967445,0.0,6.521627574626193,0.75
30,1,0.0006909441743479604,0.0006909441743479604,0.0,6.505938391121776,0.75
31,1,0.001822508364326868,0.001822508364326868,0.0,6.522320615227863,0.75
32,1,0.0014178361443316807,0.0014178361443316807,0.0,6.501215972364064,0.75
33,1,0.0010100024834892116,0.0010100024834892116,0.0,6.503864711840551,0.75
34,1,0.005576556885117009,0.005576556885117009,0.0,6.474329166462041,0.75
35,1,0.0002302086920174935,0.0002302086920174935,0.0,6.511932734869188,0.75
