layer,global_name,scope_params,comp_positions,stego_positions,union_positions,selected_by_comp,selected_by_stego,raw_stego_layer,norm_stego_layer
11,model.layers.11.self_attn.q_proj.weight,16777216,0,1604,1604,0,1,27146.977178390774,1.0
12,model.layers.12.self_attn.q_proj.weight,16777216,0,1604,1604,0,1,2686.9955392467214,0.08460357288244619
25,model.layers.25.self_attn.q_proj.weight,16777216,7657,0,7657,1,0,2043.0317776080933,0.06050371314854459
25,model.layers.25.self_attn.k_proj.weight,4194304,949,0,949,1,0,2043.0317776080933,0.06050371314854459
25,model.layers.25.self_attn.v_proj.weight,4194304,963,0,963,1,0,2043.0317776080933,0.06050371314854459
25,model.layers.25.self_attn.o_proj.weight,16777216,7750,0,7750,1,0,2043.0317776080933,0.06050371314854459
25,model.layers.25.mlp.gate_proj.weight,58720256,13461,0,13461,1,0,2043.0317776080933,0.06050371314854459
25,model.layers.25.mlp.up_proj.weight,58720256,13405,0,13405,1,0,2043.0317776080933,0.06050371314854459
25,model.layers.25.mlp.down_proj.weight,58720256,13444,0,13444,1,0,2043.0317776080933,0.06050371314854459
26,model.layers.26.self_attn.q_proj.weight,16777216,0,1604,1604,0,1,2749.3895959536803,0.08693862355523642
28,model.layers.28.self_attn.q_proj.weight,16777216,0,1604,1604,0,1,2797.3793306549474,0.08873460330419737
29,model.layers.29.self_attn.q_proj.weight,16777216,7668,0,7668,1,0,1505.554268143,0.04038902136018212
29,model.layers.29.self_attn.k_proj.weight,4194304,968,0,968,1,0,1505.554268143,0.04038902136018212
29,model.layers.29.self_attn.v_proj.weight,4194304,935,0,935,1,0,1505.554268143,0.04038902136018212
29,model.layers.29.self_attn.o_proj.weight,16777216,7687,0,7687,1,0,1505.554268143,0.04038902136018212
29,model.layers.29.mlp.gate_proj.weight,58720256,13433,0,13433,1,0,1505.554268143,0.04038902136018212
29,model.layers.29.mlp.up_proj.weight,58720256,13424,0,13424,1,0,1505.554268143,0.04038902136018212
29,model.layers.29.mlp.down_proj.weight,58720256,13461,0,13461,1,0,1505.554268143,0.04038902136018212
30,model.layers.30.self_attn.q_proj.weight,16777216,7671,0,7671,1,0,2530.806075298868,0.07875829959644899
30,model.layers.30.self_attn.k_proj.weight,4194304,983,0,983,1,0,2530.806075298868,0.07875829959644899
30,model.layers.30.self_attn.v_proj.weight,4194304,957,0,957,1,0,2530.806075298868,0.07875829959644899
30,model.layers.30.self_attn.o_proj.weight,16777216,7683,0,7683,1,0,2530.806075298868,0.07875829959644899
30,model.layers.30.mlp.gate_proj.weight,58720256,13349,0,13349,1,0,2530.806075298868,0.07875829959644899
30,model.layers.30.mlp.up_proj.weight,58720256,13417,0,13417,1,0,2530.806075298868,0.07875829959644899
30,model.layers.30.mlp.down_proj.weight,58720256,13465,0,13465,1,0,2530.806075298868,0.07875829959644899
31,model.layers.31.self_attn.q_proj.weight,16777216,7699,0,7699,1,0,866.9749943497717,0.016490672036560176
31,model.layers.31.self_attn.k_proj.weight,4194304,974,0,974,1,0,866.9749943497717,0.016490672036560176
31,model.layers.31.self_attn.v_proj.weight,4194304,968,0,968,1,0,866.9749943497717,0.016490672036560176
31,model.layers.31.self_attn.o_proj.weight,16777216,7641,0,7641,1,0,866.9749943497717,0.016490672036560176
31,model.layers.31.mlp.gate_proj.weight,58720256,13502,0,13502,1,0,866.9749943497717,0.016490672036560176
31,model.layers.31.mlp.up_proj.weight,58720256,13518,0,13518,1,0,866.9749943497717,0.016490672036560176
31,model.layers.31.mlp.down_proj.weight,58720256,13425,0,13425,1,0,866.9749943497717,0.016490672036560176
