layer,scomp_raw,scomp_mean,status,reason
0,0.001065027667209506,1.12377674668096e-05,ok,
1,0.002038786420598626,1.4182052836986259e-05,ok,
2,0.013315265998244286,3.2874333555810153e-05,ok,
3,0.02063862234354019,2.7702002626028843e-05,ok,
4,0.005551055073738098,3.05229659716133e-05,ok,
5,0.025299176573753357,4.9050220695789903e-05,ok,
6,0.023371394723653793,4.6140674385242164e-05,ok,
7,0.1537073403596878,8.589745266363025e-05,ok,
8,0.029588371515274048,5.062510535935871e-05,ok,
9,0.04032854735851288,7.7494238212239e-05,ok,
10,0.012483767233788967,4.063865708303638e-05,ok,
11,0.030643288046121597,7.104856194928288e-05,ok,
12,0.034353677183389664,7.63399075367488e-05,ok,
13,0.03935253247618675,7.89081968832761e-05,ok,
14,0.05821012705564499,7.612724584760144e-05,ok,
15,0.029905835166573524,4.8804253310663626e-05,ok,
16,0.04560033231973648,8.951350173447281e-05,ok,
17,0.0829554945230484,9.26446882658638e-05,ok,
18,0.04241153225302696,6.263720570132136e-05,ok,
19,0.011454833671450615,2.6724599592853338e-05,ok,
20,0.024594338610768318,3.293524423497729e-05,ok,
21,0.04241004213690758,3.2999421819113195e-05,ok,
22,0.04581737890839577,3.7551813875325024e-05,ok,
23,0.020783405750989914,2.349861097172834e-05,ok,
24,0.14901456236839294,6.452910020016134e-05,ok,
25,0.17826174199581146,8.856773638399318e-05,ok,
26,0.04914837330579758,5.0430007831892e-05,ok,
27,0.032448045909404755,5.4988231568131596e-05,ok,
28,0.05820988863706589,4.456013266462833e-05,ok,
29,0.15801893174648285,8.852054452290758e-05,ok,
30,0.1580197513103485,0.00010549271246418357,ok,
31,0.9313310384750366,0.0003240112273488194,ok,
