layer,global_name,scope_params,comp_positions,stego_positions,union_positions,selected_by_comp,selected_by_stego,raw_stego_layer,norm_stego_layer
2,model.layers.2.self_attn.q_proj.weight,16777216,0,1484,1484,0,1,9323.422393401795,0.009293702096073598
3,model.layers.3.self_attn.q_proj.weight,16777216,0,1484,1484,0,1,8002.233422291867,0.007972473489294536
6,model.layers.6.self_attn.q_proj.weight,16777216,0,1484,1484,0,1,1000000.0,1.0
26,model.layers.26.self_attn.q_proj.weight,16777216,7630,0,7630,1,0,6235.156685950781,0.00620534374065136
26,model.layers.26.self_attn.k_proj.weight,4194304,971,0,971,1,0,6235.156685950781,0.00620534374065136
26,model.layers.26.self_attn.v_proj.weight,4194304,981,0,981,1,0,6235.156685950781,0.00620534374065136
26,model.layers.26.self_attn.o_proj.weight,16777216,7725,0,7725,1,0,6235.156685950781,0.00620534374065136
26,model.layers.26.mlp.gate_proj.weight,50331648,11528,0,11528,1,0,6235.156685950781,0.00620534374065136
26,model.layers.26.mlp.up_proj.weight,50331648,11460,0,11460,1,0,6235.156685950781,0.00620534374065136
26,model.layers.26.mlp.down_proj.weight,50331648,11531,0,11531,1,0,6235.156685950781,0.00620534374065136
27,model.layers.27.self_attn.q_proj.weight,16777216,0,1484,1484,0,1,13919.99834912483,0.013890415949075304
31,model.layers.31.self_attn.q_proj.weight,16777216,7723,0,7723,1,0,548.3934264097431,0.0005184098782125354
31,model.layers.31.self_attn.k_proj.weight,4194304,960,0,960,1,0,548.3934264097431,0.0005184098782125354
31,model.layers.31.self_attn.v_proj.weight,4194304,967,0,967,1,0,548.3934264097431,0.0005184098782125354
31,model.layers.31.self_attn.o_proj.weight,16777216,7692,0,7692,1,0,548.3934264097431,0.0005184098782125354
31,model.layers.31.mlp.gate_proj.weight,50331648,11566,0,11566,1,0,548.3934264097431,0.0005184098782125354
31,model.layers.31.mlp.up_proj.weight,50331648,11501,0,11501,1,0,548.3934264097431,0.0005184098782125354
31,model.layers.31.mlp.down_proj.weight,50331648,11526,0,11526,1,0,548.3934264097431,0.0005184098782125354
32,model.layers.32.self_attn.q_proj.weight,16777216,7652,0,7652,1,0,704.8030204157861,0.0006748241645063986
32,model.layers.32.self_attn.k_proj.weight,4194304,972,0,972,1,0,704.8030204157861,0.0006748241645063986
32,model.layers.32.self_attn.v_proj.weight,4194304,960,0,960,1,0,704.8030204157861,0.0006748241645063986
32,model.layers.32.self_attn.o_proj.weight,16777216,7684,0,7684,1,0,704.8030204157861,0.0006748241645063986
32,model.layers.32.mlp.gate_proj.weight,50331648,11594,0,11594,1,0,704.8030204157861,0.0006748241645063986
32,model.layers.32.mlp.up_proj.weight,50331648,11484,0,11484,1,0,704.8030204157861,0.0006748241645063986
32,model.layers.32.mlp.down_proj.weight,50331648,11532,0,11532,1,0,704.8030204157861,0.0006748241645063986
34,model.layers.34.self_attn.q_proj.weight,16777216,7684,0,7684,1,0,179.28996881562472,0.00014929534751468914
34,model.layers.34.self_attn.k_proj.weight,4194304,964,0,964,1,0,179.28996881562472,0.00014929534751468914
34,model.layers.34.self_attn.v_proj.weight,4194304,944,0,944,1,0,179.28996881562472,0.00014929534751468914
34,model.layers.34.self_attn.o_proj.weight,16777216,7672,0,7672,1,0,179.28996881562472,0.00014929534751468914
34,model.layers.34.mlp.gate_proj.weight,50331648,11560,0,11560,1,0,179.28996881562472,0.00014929534751468914
34,model.layers.34.mlp.up_proj.weight,50331648,11602,0,11602,1,0,179.28996881562472,0.00014929534751468914
34,model.layers.34.mlp.down_proj.weight,50331648,11552,0,11552,1,0,179.28996881562472,0.00014929534751468914
