tensor_name,layer_name,real_param_count,selected_by_comp,selected_by_stego,union_candidate,optimized_positions,changed_params,changed_scope_percent,pai
m_1.conv.weight,m_1.conv,1728,193,40,1,233,4,0.23148148148148148,0.10390285402536392
m_2.layer1.0.conv1.weight,m_2.layer1.0.conv1,36864,0,40,1,40,0,0.0,0.011934708803892136
m_2.layer1.0.conv2.weight,m_2.layer1.0.conv2,36864,0,40,1,40,0,0.0,0.005833343602716923
m_2.layer1.1.conv1.weight,m_2.layer1.1.conv1,36864,0,40,1,40,0,0.0,0.0013224221765995026
m_2.layer1.1.conv2.weight,m_2.layer1.1.conv2,36864,0,40,1,40,0,0.0,0.0021775381173938513
m_2.layer1.2.conv1.weight,m_2.layer1.2.conv1,36864,0,39,1,39,0,0.0,0.002094412688165903
m_2.layer1.2.conv2.weight,m_2.layer1.2.conv2,36864,0,40,1,40,0,0.0,0.005833315663039684
m_2.layer2.0.conv1.weight,m_2.layer2.0.conv1,73728,0,39,1,39,0,0.0,0.008529522456228733
m_2.layer2.0.conv2.weight,m_2.layer2.0.conv2,147456,0,40,1,40,0,0.0,0.002840472385287285
m_2.layer2.0.shortcut.0.weight,m_2.layer2.0.shortcut.0,8192,0,40,1,40,0,0.0,0.2108706682920456
m_2.layer2.1.conv1.weight,m_2.layer2.1.conv1,147456,0,39,1,39,0,0.0,0.00011124086449854076
m_2.layer2.1.conv2.weight,m_2.layer2.1.conv2,147456,0,40,1,40,0,0.0,0.0018781868275254965
m_2.layer2.2.conv1.weight,m_2.layer2.2.conv1,147456,0,40,1,40,0,0.0,0.0
m_2.layer2.2.conv2.weight,m_2.layer2.2.conv2,147456,0,40,1,40,0,0.0,0.0
m_2.layer2.3.conv1.weight,m_2.layer2.3.conv1,147456,0,39,1,39,0,0.0,0.001907937927171588
m_2.layer2.3.conv2.weight,m_2.layer2.3.conv2,147456,0,39,1,39,0,0.0,0.0006585148512385786
m_2.layer3.0.conv1.weight,m_2.layer3.0.conv1,294912,0,40,1,40,0,0.0,0.004519008565694094
m_2.layer3.0.conv2.weight,m_2.layer3.0.conv2,589824,0,39,1,39,0,0.0,0.0032413743901997805
m_2.layer3.0.shortcut.0.weight,m_2.layer3.0.shortcut.0,32768,0,40,1,40,0,0.0,0.022464776411652565
m_2.layer3.1.conv1.weight,m_2.layer3.1.conv1,589824,0,39,1,39,0,0.0,0.0005083094001747668
m_2.layer3.1.conv2.weight,m_2.layer3.1.conv2,589824,0,40,1,40,0,0.0,0.0005751308635808527
m_2.layer3.2.conv1.weight,m_2.layer3.2.conv1,589824,0,39,1,39,0,0.0,0.0006443677702918649
m_2.layer3.2.conv2.weight,m_2.layer3.2.conv2,589824,0,40,1,40,0,0.0,0.00024369280436076224
m_2.layer3.3.conv1.weight,m_2.layer3.3.conv1,589824,0,40,1,40,0,0.0,0.0025765455793589354
m_2.layer3.3.conv2.weight,m_2.layer3.3.conv2,589824,0,40,1,40,0,0.0,0.0010621751425787807
m_2.layer3.4.conv1.weight,m_2.layer3.4.conv1,589824,0,40,1,40,0,0.0,0.002812070306390524
m_2.layer3.4.conv2.weight,m_2.layer3.4.conv2,589824,0,39,1,39,0,0.0,0.0009086549980565906
m_2.layer3.5.conv1.weight,m_2.layer3.5.conv1,589824,0,40,1,40,0,0.0,0.003092330414801836
m_2.layer3.5.conv2.weight,m_2.layer3.5.conv2,589824,0,39,1,39,0,0.0,0.0007861324120312929
m_2.layer4.0.conv1.weight,m_2.layer4.0.conv1,1179648,0,40,1,40,0,0.0,0.009205147624015808
m_2.layer4.0.conv2.weight,m_2.layer4.0.conv2,2359296,0,40,1,40,0,0.0,0.011973526328802109
m_2.layer4.0.shortcut.0.weight,m_2.layer4.0.shortcut.0,131072,0,40,1,40,0,0.0,0.004923202097415924
m_2.layer4.1.conv1.weight,m_2.layer4.1.conv1,2359296,0,40,1,40,0,0.0,0.04480612277984619
m_2.layer4.1.conv2.weight,m_2.layer4.1.conv2,2359296,0,40,1,40,0,0.0,0.007301506586372852
m_2.layer4.2.conv1.weight,m_2.layer4.2.conv1,2359296,0,39,1,39,0,0.0,0.01800629496574402
m_2.layer4.2.conv2.weight,m_2.layer4.2.conv2,2359296,0,40,1,40,0,0.0,0.0022664328571408987
m_2.fc.weight,m_2.fc,102400,0,39,1,39,0,0.0,0.15031073987483978
