tensor_name,real_param_count,optimized_positions,changed_params,changed_scope_percent
m_1.conv.weight,1728,233,4,0.23148148148148148
m_2.layer1.0.conv1.weight,36864,40,0,0.0
m_2.layer1.0.conv2.weight,36864,40,0,0.0
m_2.layer1.1.conv1.weight,36864,40,0,0.0
m_2.layer1.1.conv2.weight,36864,40,0,0.0
m_2.layer1.2.conv1.weight,36864,39,0,0.0
m_2.layer1.2.conv2.weight,36864,40,0,0.0
m_2.layer2.0.conv1.weight,73728,39,0,0.0
m_2.layer2.0.conv2.weight,147456,40,0,0.0
m_2.layer2.0.shortcut.0.weight,8192,40,0,0.0
m_2.layer2.1.conv1.weight,147456,39,0,0.0
m_2.layer2.1.conv2.weight,147456,40,0,0.0
m_2.layer2.2.conv1.weight,147456,40,0,0.0
m_2.layer2.2.conv2.weight,147456,40,0,0.0
m_2.layer2.3.conv1.weight,147456,39,0,0.0
m_2.layer2.3.conv2.weight,147456,39,0,0.0
m_2.layer3.0.conv1.weight,294912,40,0,0.0
m_2.layer3.0.conv2.weight,589824,39,0,0.0
m_2.layer3.0.shortcut.0.weight,32768,40,0,0.0
m_2.layer3.1.conv1.weight,589824,39,0,0.0
m_2.layer3.1.conv2.weight,589824,40,0,0.0
m_2.layer3.2.conv1.weight,589824,39,0,0.0
m_2.layer3.2.conv2.weight,589824,40,0,0.0
m_2.layer3.3.conv1.weight,589824,40,0,0.0
m_2.layer3.3.conv2.weight,589824,40,0,0.0
m_2.layer3.4.conv1.weight,589824,40,0,0.0
m_2.layer3.4.conv2.weight,589824,39,0,0.0
m_2.layer3.5.conv1.weight,589824,40,0,0.0
m_2.layer3.5.conv2.weight,589824,39,0,0.0
m_2.layer4.0.conv1.weight,1179648,40,0,0.0
m_2.layer4.0.conv2.weight,2359296,40,0,0.0
m_2.layer4.0.shortcut.0.weight,131072,40,0,0.0
m_2.layer4.1.conv1.weight,2359296,40,0,0.0
m_2.layer4.1.conv2.weight,2359296,40,0,0.0
m_2.layer4.2.conv1.weight,2359296,39,0,0.0
m_2.layer4.2.conv2.weight,2359296,40,0,0.0
m_2.fc.weight,102400,39,0,0.0
