step,num_values,mean_abs_u,max_abs_u,min_u,max_u,frac_over_tau,loss_final,loss_attack,loss_pres,loss_tri
0,1661,0.0005089169204062152,0.0009989611571654677,-0.0009973426349461079,0.0009989611571654677,0.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
1,1661,0.05046600227629399,0.05095478892326355,-0.05095317214727402,0.05095478892326355,0.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
2,1661,0.10016718099072064,0.10065222531557083,-0.1006506159901619,0.10065222531557083,0.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
3,1661,0.1493569246926701,0.14983578026294708,-0.14983418583869934,0.14983578026294708,0.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
4,1661,0.19778363479324884,0.19825392961502075,-0.1982523500919342,0.19825392961502075,0.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
5,1661,0.24520519600081056,0.24566470086574554,-0.24566316604614258,0.24566470086574554,0.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
6,1661,0.29139441698520463,0.2918410897254944,-0.291839599609375,0.2918410897254944,0.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
7,1661,0.3361440310630362,0.33657604455947876,-0.33657458424568176,0.33657604455947876,0.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
8,1661,0.37927098174830076,0.37968674302101135,-0.37968534231185913,0.37968674302101135,0.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
9,1661,0.4206198073883217,0.4210180640220642,-0.42101672291755676,0.4210180640220642,0.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
10,1661,0.4600649591600371,0.46044468879699707,-0.4604434072971344,0.46044468879699707,0.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
11,1661,0.4975120686106765,0.49787262082099915,-0.49787136912345886,0.49787262082099915,0.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
12,1661,0.5328982163451652,0.5332391858100891,-0.5332379937171936,0.5332391858100891,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
13,1661,0.566190364524444,0.5665115714073181,-0.5665104389190674,0.5665115714073181,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
14,1661,0.5973841070698228,0.5976856350898743,-0.5976845026016235,0.5976856350898743,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
15,1661,0.6265006051014734,0.6267827749252319,-0.626781702041626,0.6267827749252319,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
16,1661,0.6535834839443067,0.6538468599319458,-0.6538459062576294,0.6538468599319458,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
17,1661,0.6786953754844183,0.6789405345916748,-0.678939700126648,0.6789405345916748,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
18,1661,0.701914194690973,0.7021420001983643,-0.7021411657333374,0.7021420001983643,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
19,1661,0.723329557883029,0.7235409021377563,-0.7235400676727295,0.7235409021377563,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
20,1661,0.7430394111377226,0.743235170841217,-0.743234395980835,0.743235170841217,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
21,1661,0.7611469276908792,0.7613281011581421,-0.7613273859024048,0.7613281011581421,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
22,1661,0.777757786792994,0.7779253125190735,-0.777924656867981,0.7779253125190735,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
23,1661,0.792977854905539,0.7931326627731323,-0.7931320667266846,0.7931326627731323,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
24,1661,0.8069113261149922,0.8070544004440308,-0.8070538640022278,0.8070544004440308,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
25,1661,0.819659273499541,0.8197914958000183,-0.8197910189628601,0.8197914958000183,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
26,1661,0.8313184861746414,0.8314407467842102,-0.8314403295516968,0.8314407467842102,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
27,1661,0.8419807121238387,0.8420937657356262,-0.8420934677124023,0.8420937657356262,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
28,1661,0.8517321577135301,0.8518368601799011,-0.8518365621566772,0.8518368601799011,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
29,1661,0.8606532412361912,0.8607503175735474,-0.8607499599456787,0.8607503175735474,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
30,1661,0.868818473449893,0.8689085245132446,-0.8689082264900208,0.8689085245132446,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
31,1661,0.8762965357712706,0.876380205154419,-0.8763799667358398,0.876380205154419,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
32,1661,0.8831504804767951,0.8832283020019531,-0.883228063583374,0.8832283020019531,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
33,1661,0.8894379179137504,0.8895103931427002,-0.8895101547241211,0.8895103931427002,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
34,1661,0.8952113777883508,0.8952789902687073,-0.895278811454773,0.8952789902687073,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
35,1661,0.900518600334969,0.9005817770957947,-0.9005815982818604,0.9005817770957947,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
36,1661,0.905402893369848,0.9054620265960693,-0.905461847782135,0.9054620265960693,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
37,1661,0.9099034689263649,0.9099588990211487,-0.9099587202072144,0.9099588990211487,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
38,1661,0.9140557961819905,0.9141077995300293,-0.9141076803207397,0.9141077995300293,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
39,1661,0.917891926718074,0.9179408550262451,-0.9179407358169556,0.9179408550262451,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
40,1661,0.921440785294337,0.9214869141578674,-0.9214867353439331,0.9214869141578674,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
41,1661,0.9247284825130947,0.9247719645500183,-0.9247718453407288,0.9247719645500183,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
42,1661,0.9277785790748871,0.9278197288513184,-0.9278196096420288,0.9278197288513184,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
43,1661,0.9306123313381326,0.9306512475013733,-0.9306511282920837,0.9306512475013733,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
44,1661,0.9332489134101247,0.9332858324050903,-0.9332857131958008,0.9332858324050903,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
45,1661,0.9357056351830484,0.9357407093048096,-0.93574059009552,0.9357407093048096,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
46,1661,0.9379981179900517,0.9380314946174622,-0.9380314350128174,0.9380314946174622,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
47,1661,0.9401404822827246,0.9401723146438599,-0.9401721954345703,0.9401723146438599,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
48,1661,0.9421454815172704,0.9421758651733398,-0.9421757459640503,0.9421758651733398,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
49,1661,0.9440246515787918,0.9440536499023438,-0.944053590297699,0.9440536499023438,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
50,1661,0.945788422849507,0.9458162188529968,-0.9458160996437073,0.9458162188529968,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
51,1661,0.9474462578628237,0.947472870349884,-0.9474728107452393,0.947472870349884,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
52,1661,0.9490067202380305,0.9490322470664978,-0.949032187461853,0.9490322470664978,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
53,1661,0.9504775808275212,0.9505020976066589,-0.9505020380020142,0.9505020976066589,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
54,1661,0.9518658950485285,0.9518895149230957,-0.9518893957138062,0.9518895149230957,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
55,1661,0.953178074437405,0.9532008171081543,-0.9532006978988647,0.9532008171081543,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
56,1661,0.9544199416968996,0.9544418454170227,-0.9544417858123779,0.9544418454170227,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
57,1661,0.9555968098939004,0.9556179642677307,-0.9556179046630859,0.9556179642677307,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
58,1661,0.9567135105572286,0.9567339420318604,-0.9567338824272156,0.9567339420318604,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
59,1661,0.9577744516315839,0.957794189453125,-0.9577941298484802,0.957794189453125,1.0,-1613.79541015625,-1613.844482421875,1.0835838317871094,4.9126877784729
