tensor_name,real_param_count,optimized_positions,changed_params,changed_scope_percent
m_1.conv.weight,1728,248,248,14.351851851851851
m_2.layer1.0.conv1.weight,36864,41,41,0.11121961805555555
m_2.layer1.0.conv2.weight,36864,41,41,0.11121961805555555
m_2.layer1.1.conv1.weight,36864,41,41,0.11121961805555555
m_2.layer1.1.conv2.weight,36864,41,41,0.11121961805555555
m_2.layer1.2.conv1.weight,36864,41,41,0.11121961805555555
m_2.layer1.2.conv2.weight,36864,41,41,0.11121961805555555
m_2.layer2.0.conv1.weight,73728,41,41,0.055609809027777776
m_2.layer2.0.conv2.weight,147456,41,41,0.027804904513888888
m_2.layer2.0.shortcut.0.weight,8192,41,41,0.50048828125
m_2.layer2.1.conv1.weight,147456,41,41,0.027804904513888888
m_2.layer2.1.conv2.weight,147456,41,41,0.027804904513888888
m_2.layer2.2.conv1.weight,147456,41,41,0.027804904513888888
m_2.layer2.2.conv2.weight,147456,41,41,0.027804904513888888
m_2.layer2.3.conv1.weight,147456,41,41,0.027804904513888888
m_2.layer2.3.conv2.weight,147456,41,41,0.027804904513888888
m_2.layer3.0.conv1.weight,294912,41,41,0.013902452256944444
m_2.layer3.0.conv2.weight,589824,41,41,0.006951226128472222
m_2.layer3.0.shortcut.0.weight,32768,41,41,0.1251220703125
m_2.layer3.1.conv1.weight,589824,41,41,0.006951226128472222
m_2.layer3.1.conv2.weight,589824,41,41,0.006951226128472222
m_2.layer3.2.conv1.weight,589824,41,41,0.006951226128472222
m_2.layer3.2.conv2.weight,589824,41,41,0.006951226128472222
m_2.layer3.3.conv1.weight,589824,41,41,0.006951226128472222
m_2.layer3.3.conv2.weight,589824,41,41,0.006951226128472222
m_2.layer3.4.conv1.weight,589824,41,41,0.006951226128472222
m_2.layer3.4.conv2.weight,589824,41,41,0.006951226128472222
m_2.layer3.5.conv1.weight,589824,41,41,0.006951226128472222
m_2.layer3.5.conv2.weight,589824,41,41,0.006951226128472222
m_2.layer4.0.conv1.weight,1179648,41,41,0.003475613064236111
m_2.layer4.0.conv2.weight,2359296,41,41,0.0017378065321180555
m_2.layer4.0.shortcut.0.weight,131072,41,41,0.031280517578125
m_2.layer4.1.conv1.weight,2359296,41,41,0.0017378065321180555
m_2.layer4.1.conv2.weight,2359296,41,41,0.0017378065321180555
m_2.layer4.2.conv1.weight,2359296,41,41,0.0017378065321180555
m_2.layer4.2.conv2.weight,2359296,41,41,0.0017378065321180555
m_2.fc.weight,102400,41,41,0.0400390625
