acc_shift_abs,before_acc,dacc,logit_mse,numel,pai,param_name,probe_after_acc,probe_positions,shape,sstego_score,status,tensor_name,writable_positions
0.4000000000000057,69.0,0.005797101449275445,0.00047915533650666475,1728,0.005797101449275445,conv1.weight,69.4,1674,"(64, 3, 3, 3)",172.49999999999756,ok,conv1.weight,1674
0.0,69.0,0.0,5.446931027108803e-06,36864,5.446931027108803e-06,layer1.0.conv1.weight,69.0,2048,"(64, 64, 3, 3)",183589.62047125347,ok,layer1.0.conv1.weight,35712
0.0,69.0,0.0,7.150915735110175e-06,36864,7.150915735110175e-06,layer1.0.conv2.weight,69.0,2048,"(64, 64, 3, 3)",139842.22958887837,ok,layer1.0.conv2.weight,35712
0.0,69.0,0.0,3.873599325743271e-06,36864,3.873599325743271e-06,layer1.1.conv1.weight,69.0,2048,"(64, 64, 3, 3)",258157.8309749728,ok,layer1.1.conv1.weight,35712
0.0,69.0,0.0,1.3592389223049395e-06,36864,1.3592389223049395e-06,layer1.1.conv2.weight,69.0,2048,"(64, 64, 3, 3)",735705.8303658952,ok,layer1.1.conv2.weight,35712
0.0,69.0,0.0,6.034174020896899e-06,36864,6.034174020896899e-06,layer1.2.conv1.weight,69.0,2048,"(64, 64, 3, 3)",165722.76446401913,ok,layer1.2.conv1.weight,35712
0.0,69.0,0.0,5.685005362465745e-06,36864,5.685005362465745e-06,layer1.2.conv2.weight,69.0,2048,"(64, 64, 3, 3)",175901.329241011,ok,layer1.2.conv2.weight,35712
0.0,69.0,0.0,9.682291420176625e-06,73728,9.682291420176625e-06,layer2.0.conv1.weight,69.0,2048,"(128, 64, 3, 3)",103281.33667988253,ok,layer2.0.conv1.weight,71424
0.0,69.0,0.0,2.9524899218813516e-06,147456,2.9524899218813516e-06,layer2.0.conv2.weight,69.0,2048,"(128, 128, 3, 3)",338697.1764370296,ok,layer2.0.conv2.weight,142848
0.0,69.0,0.0,0.00013252692588139325,8192,0.00013252692588139325,layer2.0.shortcut.0.weight,69.0,2048,"(128, 64, 1, 1)",7545.636430856047,ok,layer2.0.shortcut.0.weight,7936
0.0,69.0,0.0,1.7950330288840632e-07,147456,1.7950330288840632e-07,layer2.1.conv1.weight,69.0,2048,"(128, 128, 3, 3)",5570928.132847117,ok,layer2.1.conv1.weight,142848
0.0,69.0,0.0,1.0312911626897403e-06,147456,1.0312911626897403e-06,layer2.1.conv2.weight,69.0,2048,"(128, 128, 3, 3)",969658.2654619778,ok,layer2.1.conv2.weight,142848
0.0,69.0,0.0,0.0,147456,0.0,layer2.2.conv1.weight,69.0,2048,"(128, 128, 3, 3)",1000000000000.0,ok,layer2.2.conv1.weight,142848
0.0,69.0,0.0,0.0,147456,0.0,layer2.2.conv2.weight,69.0,2048,"(128, 128, 3, 3)",1000000000000.0,ok,layer2.2.conv2.weight,142848
0.0,69.0,0.0,1.0153456742045819e-06,147456,1.0153456742045819e-06,layer2.3.conv1.weight,69.0,2048,"(128, 128, 3, 3)",984886.2563810068,ok,layer2.3.conv1.weight,142848
0.0,69.0,0.0,1.0868017170651e-06,147456,1.0868017170651e-06,layer2.3.conv2.weight,69.0,2048,"(128, 128, 3, 3)",920131.0453396159,ok,layer2.3.conv2.weight,142848
0.0,69.0,0.0,3.409354576433543e-06,294912,3.409354576433543e-06,layer3.0.conv1.weight,69.0,2048,"(256, 128, 3, 3)",293310.64797785855,ok,layer3.0.conv1.weight,285696
0.0,69.0,0.0,1.7186358718390693e-06,589824,1.7186358718390693e-06,layer3.0.conv2.weight,69.0,2048,"(256, 256, 3, 3)",581856.8181809944,ok,layer3.0.conv2.weight,571392
0.0,69.0,0.0,1.6030871847760864e-05,32768,1.6030871847760864e-05,layer3.0.shortcut.0.weight,69.0,2048,"(256, 128, 1, 1)",62379.63907993417,ok,layer3.0.shortcut.0.weight,31744
