global_name,selected_by_comp,selected_by_stego,scope_params,optimized_positions,changed,k_scope_percent
model.layers.0.self_attn.q_proj.weight,0,1,16777216,1604,1604,0.009560585021972656
model.layers.11.self_attn.q_proj.weight,0,1,16777216,1604,1604,0.009560585021972656
model.layers.25.self_attn.q_proj.weight,1,0,16777216,7683,7683,0.04579424858093262
model.layers.25.self_attn.k_proj.weight,1,0,4194304,962,962,0.022935867309570312
model.layers.25.self_attn.v_proj.weight,1,0,4194304,949,949,0.02262592315673828
model.layers.25.self_attn.o_proj.weight,1,0,16777216,7786,7786,0.04640817642211914
model.layers.25.mlp.gate_proj.weight,1,0,58720256,13475,13475,0.02294778823852539
model.layers.25.mlp.up_proj.weight,1,0,58720256,13408,13408,0.022833687918526784
model.layers.25.mlp.down_proj.weight,1,0,58720256,13464,13464,0.02292905535016741
model.layers.26.self_attn.q_proj.weight,0,1,16777216,1604,1604,0.009560585021972656
model.layers.27.self_attn.q_proj.weight,0,1,16777216,1604,1604,0.009560585021972656
model.layers.29.self_attn.q_proj.weight,1,0,16777216,7697,7697,0.045877695083618164
model.layers.29.self_attn.k_proj.weight,1,0,4194304,962,962,0.022935867309570312
model.layers.29.self_attn.v_proj.weight,1,0,4194304,964,964,0.022983551025390625
model.layers.29.self_attn.o_proj.weight,1,0,16777216,7620,7620,0.045418739318847656
model.layers.29.mlp.gate_proj.weight,1,0,58720256,13458,13458,0.02291883741106306
model.layers.29.mlp.up_proj.weight,1,0,58720256,13441,13441,0.022889886583600725
model.layers.29.mlp.down_proj.weight,1,0,58720256,13467,13467,0.022934164319719588
model.layers.30.self_attn.q_proj.weight,1,0,16777216,7656,7656,0.04563331604003906
model.layers.30.self_attn.k_proj.weight,1,0,4194304,975,975,0.023245811462402344
model.layers.30.self_attn.v_proj.weight,1,0,4194304,973,973,0.02319812774658203
model.layers.30.self_attn.o_proj.weight,1,0,16777216,7625,7625,0.04544854164123535
model.layers.30.mlp.gate_proj.weight,1,0,58720256,13545,13545,0.023066997528076172
model.layers.30.mlp.up_proj.weight,1,0,58720256,13477,13477,0.02295119421822684
model.layers.30.mlp.down_proj.weight,1,0,58720256,13431,13431,0.022872856685093472
model.layers.31.self_attn.q_proj.weight,1,0,16777216,7548,7548,0.044989585876464844
model.layers.31.self_attn.k_proj.weight,1,0,4194304,953,953,0.022721290588378906
model.layers.31.self_attn.v_proj.weight,1,0,4194304,955,955,0.02276897430419922
model.layers.31.self_attn.o_proj.weight,1,0,16777216,7625,7625,0.04544854164123535
model.layers.31.mlp.gate_proj.weight,1,0,58720256,12480,12480,0.021253313337053572
model.layers.31.mlp.up_proj.weight,1,0,58720256,12324,12324,0.020987646920340403
model.layers.31.mlp.down_proj.weight,1,0,58720256,13634,13634,0.023218563624790738
