layer,scomp_raw,scomp_mean,status,reason
0,0.0016702990978956223,1.59111586981453e-05,ok,
1,0.0009149489924311638,2.3112805138225667e-05,ok,
2,0.0006055654375813901,3.495247074170038e-05,ok,
3,0.0007048940751701593,3.8552883779630065e-05,ok,
4,0.0021069329231977463,5.1173210522392765e-05,ok,
5,0.0032737846486270428,6.811654020566493e-05,ok,
6,0.002192429732531309,6.47907581878826e-05,ok,
7,0.00325824785977602,7.603722769999877e-05,ok,
8,0.005555557552725077,8.477161463815719e-05,ok,
9,0.0042782011441886425,8.96222991286777e-05,ok,
10,0.003464273177087307,8.691703260410577e-05,ok,
11,0.0036400589160621166,8.303632057504728e-05,ok,
12,0.0035168644972145557,8.637039718450978e-05,ok,
13,0.006642899475991726,9.398692782269791e-05,ok,
14,0.005387899465858936,0.00010564159310888499,ok,
15,0.0066347429528832436,9.557071462040767e-05,ok,
16,0.004689061548560858,9.743958071339875e-05,ok,
17,0.005972633603960276,7.920734788058326e-05,ok,
18,0.004871342331171036,6.987364031374454e-05,ok,
19,0.003985527437180281,5.8833975344896317e-05,ok,
20,0.006844185758382082,5.226421490078792e-05,ok,
21,0.0050874254666268826,6.54155301162973e-05,ok,
22,0.00457849632948637,5.278356547933072e-05,ok,
23,0.00953941885381937,6.265567935770378e-05,ok,
24,0.010705345310270786,0.00010133787873201072,ok,
25,0.017538437619805336,9.179293556371704e-05,ok,
26,0.013454347848892212,7.616521907038987e-05,ok,
27,0.00953397061675787,8.270270336652175e-05,ok,
28,0.016952598467469215,9.5773306384217e-05,ok,
29,0.03062981553375721,0.000131189328385517,ok,
30,0.051896654069423676,0.00020823258091695607,ok,
31,0.42363160848617554,0.0005707739619538188,ok,
