step,loss,Lattack,Lpres,Llogit,Lweight,Ltri,mean_abs_u,frac_over_tau,optimized_positions,opt_calib_batch
1,-1.8867549896240234,-1.8867744207382202,1.3974407920613885e-05,1.3974406101624481e-05,2.2438115365730482e-08,0.0005484729772433639,0.05050823837518692,0.0,1604,1
2,-82.73589324951172,-82.77661895751953,1.2500633602030575e-05,1.2492623682192061e-05,8.010013698367402e-05,4.07121467590332,0.09683714061975479,0.0,1604,1
3,-158.53628540039062,-158.68411254882812,1.6640058674965985e-05,1.6610503735137172e-05,0.0002955543459393084,14.78109359741211,0.1448507159948349,0.0,1604,1
4,-237.0325927734375,-237.3555908203125,1.577801231178455e-05,1.5711884771008044e-05,0.0006612841971218586,32.297943115234375,0.19370809197425842,0.0,1604,1
5,-316.8525390625,-317.4105529785156,1.3604550986201502e-05,1.348633122688625e-05,0.0011821931693702936,55.801387786865234,0.2430606484413147,0.0,1604,1
6,-397.4378356933594,-398.2771911621094,1.538736432848964e-05,1.5201286259980407e-05,0.0018607756355777383,83.9326171875,0.29273322224617004,0.0,1604,1
7,-478.5191345214844,-479.6683044433594,1.681256981100887e-05,1.6542755474802107e-05,0.002698139753192663,114.91523742675781,0.34262600541114807,0.0,1604,1
8,-559.9537353515625,-561.4202880859375,1.225118921865942e-05,1.1881654245371465e-05,0.00369534851051867,146.65797424316406,0.39267730712890625,0.0,1604,1
9,-641.6633911132812,-643.4320678710938,1.6019916074583307e-05,1.5534533304162323e-05,0.004853829741477966,176.86534118652344,0.4428468346595764,0.0,1604,1
10,-723.60595703125,-725.6375732421875,1.494491061748704e-05,1.4327782082546037e-05,0.006171282846480608,203.1630859375,0.4931073784828186,0.37094762921333313,1604,1
11,-805.7598266601562,-807.9922485351562,1.587786027812399e-05,1.5112706932995934e-05,0.007651531603187323,223.24105834960938,0.5434399843215942,1.0,1604,1
12,-888.1148071289062,-890.4649658203125,1.4392844605026767e-05,1.3463725736073684e-05,0.009291190654039383,235.01438903808594,0.5938315391540527,1.0,1604,1
13,-970.6660766601562,-973.0341186523438,1.4084929716773331e-05,1.2975520803593099e-05,0.011094093322753906,236.80352783203125,0.6442723870277405,1.0,1604,1
14,-1053.40869140625,-1055.68408203125,1.495587366662221e-05,1.365004209219478e-05,0.013058314099907875,227.53387451171875,0.694755494594574,1.0,1604,1
15,-1136.333740234375,-1138.4033203125,1.4670949894934893e-05,1.315253393840976e-05,0.015184158459305763,206.95541381835938,0.7452757358551025,1.0,1604,1
16,-1219.4244384765625,-1221.1832275390625,1.6053634681156836e-05,1.4306419870990794e-05,0.017472147941589355,175.8829345703125,0.7958282232284546,1.0,1604,1
17,-1302.6514892578125,-1304.01611328125,1.8764181731967255e-05,1.67720590980025e-05,0.019921232014894485,136.4569091796875,0.8464083075523376,1.0,1604,1
18,-1385.9697265625,-1386.8939208984375,1.7719945390126668e-05,1.546646308270283e-05,0.022534826770424843,92.42510986328125,0.8970105648040771,1.0,1604,1
19,-1469.313720703125,-1469.80810546875,1.5823430658201687e-05,1.3292679795995355e-05,0.02530750259757042,49.443668365478516,0.9476279616355896,1.0,1604,1
20,-1552.5928955078125,-1552.746826171875,1.5967953004292212e-05,1.3143466276233084e-05,0.028244860470294952,15.395071983337402,0.9949259757995605,1.0,1604,1
21,-1630.24462890625,-1630.25048828125,1.88379726751009e-05,1.572503606439568e-05,0.03112936019897461,0.5829627513885498,1.0,1.0,1604,1
22,-1638.5523681640625,-1638.5523681640625,1.7232998288818635e-05,1.4089106116443872e-05,0.0314389206469059,0.0,1.0,1.0,1604,1
23,-1638.5523681640625,-1638.5523681640625,1.662040267547127e-05,1.3476511412591208e-05,0.0314389206469059,0.0,1.0,1.0,1604,1
24,-1638.5523681640625,-1638.5523681640625,1.9200875613023527e-05,1.6056983440648764e-05,0.0314389206469059,0.0,1.0,1.0,1604,1
25,-1638.5523681640625,-1638.5523681640625,1.9801709640887566e-05,1.6657817468512803e-05,0.0314389206469059,0.0,1.0,1.0,1604,1
26,-1638.5523681640625,-1638.5523681640625,1.915564098453615e-05,1.6011748812161386e-05,0.0314389206469059,0.0,1.0,1.0,1604,1
27,-1638.5523681640625,-1638.5523681640625,1.8032138541457243e-05,1.488824636908248e-05,0.0314389206469059,0.0,1.0,1.0,1604,1
28,-1638.5523681640625,-1638.5523681640625,1.718555904517416e-05,1.4041666872799397e-05,0.0314389206469059,0.0,1.0,1.0,1604,1
29,-1638.5523681640625,-1638.5523681640625,1.9307180991745554e-05,1.616328881937079e-05,0.0314389206469059,0.0,1.0,1.0,1604,1
30,-1638.5523681640625,-1638.5523681640625,1.5827821698621847e-05,1.2683930435741786e-05,0.0314389206469059,0.0,1.0,1.0,1604,1
