step,loss,Lattack,Lpres,Llogit,Lweight,Ltri,mean_abs_u,frac_over_tau,optimized_positions,opt_calib_batch
1,-72.29012298583984,-72.38290405273438,0.09256391227245331,0.037232860922813416,553.310546875,0.021069327369332314,0.050500888377428055,0.0,63042,1
2,-3182.621826171875,-3184.315185546875,0.09368090331554413,0.03834913298487663,553.3177490234375,159.96456909179688,0.09675949066877365,0.0,63042,1
3,-6094.37060546875,-6100.26513671875,0.09402770549058914,0.03869406878948212,553.3363647460938,580.0245361328125,0.14473232626914978,0.0,63042,1
4,-9111.7060546875,-9124.474609375,0.09490398317575455,0.03956719860434532,553.3678588867188,1267.414794921875,0.19356295466423035,0.0,63042,1
5,-12180.8154296875,-12202.8125,0.0956646054983139,0.04032334312796593,553.41259765625,2190.12548828125,0.24289681017398834,0.0,63042,1
6,-15279.85546875,-15312.8974609375,0.0931539386510849,0.037806861102581024,553.4707641601562,3294.90966796875,0.2925558090209961,0.0,63042,1
7,-18398.279296875,-18443.4921875,0.091286800801754,0.035932548344135284,553.5425415039062,4512.0634765625,0.34243854880332947,0.0,63042,1
8,-21530.51171875,-21588.19921875,0.09234510362148285,0.03698231652379036,553.6279296875,5759.47412109375,0.3924824297428131,0.0,63042,1
9,-24673.505859375,-24743.068359375,0.09453143179416656,0.03915873169898987,553.72705078125,6946.96728515625,0.44264650344848633,0.0,63042,1
10,-27825.609375,-27905.515625,0.09317269176244736,0.03778870776295662,553.83984375,7981.24072265625,0.49290311336517334,0.3544303774833679,63042,1
11,-30985.98828125,-31073.796875,0.09361125528812408,0.03821461647748947,553.9664306640625,8771.4755859375,0.5432330965995789,1.0,63042,1
12,-34154.25,-34246.70703125,0.10164045542478561,0.046229783445596695,554.1067504882812,9235.6728515625,0.5936228632926941,1.0,63042,1
13,-37330.21484375,-37423.390625,0.0975104570388794,0.04208436608314514,554.2609252929688,9307.720703125,0.6440629363059998,1.0,63042,1
14,-40513.69140625,-40603.2421875,0.09859888255596161,0.04315600171685219,554.4288330078125,8945.251953125,0.6945462822914124,1.0,63042,1
15,-43704.34765625,-43785.82421875,0.0933605507016182,0.03789948672056198,554.6106567382812,8138.26416015625,0.7450672388076782,1.0,63042,1
16,-46901.49609375,-46970.78125,0.09825323522090912,0.04277260601520538,554.8062744140625,6918.56640625,0.7956212162971497,1.0,63042,1
17,-50104.01953125,-50157.8203125,0.10034704208374023,0.04484547674655914,555.0156860351562,5370.03857421875,0.8462034463882446,1.0,63042,1
18,-53310.13671875,-53346.6328125,0.09871987998485565,0.043195996433496475,555.2388916015625,3639.703125,0.896808385848999,1.0,63042,1
19,-56517.28515625,-56536.875,0.09467174857854843,0.03912414237856865,555.47607421875,1949.560302734375,0.9474287629127502,1.0,63042,1
20,-59721.91015625,-59728.1015625,0.10265660285949707,0.04708390310406685,555.72705078125,609.0944213867188,0.9948257803916931,1.0,63042,1
21,-62715.7890625,-62716.1171875,0.09629493951797485,0.04069751128554344,555.9742431640625,23.08965301513672,1.0,1.0,63042,1
22,-63042.2109375,-63042.30859375,0.09922893345355988,0.0436287596821785,556.001708984375,0.0,1.0,1.0,63042,1
23,-63042.21484375,-63042.30859375,0.09219616651535034,0.03659600019454956,556.001708984375,0.0,1.0,1.0,63042,1
24,-63042.2109375,-63042.30859375,0.09629392623901367,0.04069375619292259,556.001708984375,0.0,1.0,1.0,63042,1
25,-63042.21484375,-63042.30859375,0.09488040953874588,0.0392802394926548,556.001708984375,0.0,1.0,1.0,63042,1
26,-63042.2109375,-63042.30859375,0.09649233520030975,0.04089216887950897,556.001708984375,0.0,1.0,1.0,63042,1
27,-63042.21484375,-63042.30859375,0.09465722739696503,0.03905705735087395,556.001708984375,0.0,1.0,1.0,63042,1
28,-63042.2109375,-63042.30859375,0.09610415995121002,0.040503986179828644,556.001708984375,0.0,1.0,1.0,63042,1
29,-63042.2109375,-63042.30859375,0.09797269105911255,0.04237251728773117,556.001708984375,0.0,1.0,1.0,63042,1
30,-63042.2109375,-63042.30859375,0.09849965572357178,0.042899489402770996,556.001708984375,0.0,1.0,1.0,63042,1
