step,loss,Lattack,Lpres,Llogit,Lweight,Ltri,mean_abs_u,frac_over_tau,optimized_positions,opt_calib_batch
1,-65.58445739746094,-65.58464813232422,0.03720487654209137,0.03720487654209137,553.310546875,0.019085824489593506,0.050500791519880295,0.0,57123,1
2,-2883.887939453125,-2885.33740234375,0.03825714439153671,0.03825714439153671,553.3167114257812,144.94497680664062,0.09675824642181396,0.0,57123,1
3,-5522.19091796875,-5527.4462890625,0.03847005218267441,0.03847005218267441,553.3334350585938,525.5530395507812,0.14473041892051697,0.0,57123,1
4,-8256.193359375,-8267.677734375,0.039462845772504807,0.039462845772504807,553.3619995117188,1148.388916015625,0.1935606300830841,0.0,57123,1
5,-11037.1240234375,-11056.96875,0.03955540806055069,0.03955540806055069,553.4025268554688,1984.4512939453125,0.24289418756961823,0.0,57123,1
6,-13845.1796875,-13875.0341796875,0.03718866407871246,0.03718866407871246,553.4555053710938,2985.494873046875,0.29255297780036926,0.0,57123,1
7,-16670.8046875,-16711.6875,0.03581435978412628,0.03581435978412628,553.5209350585938,4088.362060546875,0.3424355387687683,0.0,57123,1
8,-19508.9453125,-19561.130859375,0.03622361645102501,0.03622361645102501,553.5988159179688,5218.650390625,0.39247927069664,0.0,57123,1
9,-22356.837890625,-22419.78515625,0.03723884001374245,0.03723884001374245,553.6893310546875,6294.6533203125,0.4426432251930237,0.0,57123,1
10,-25212.990234375,-25285.30859375,0.03699983283877373,0.03699983283877373,553.7924194335938,7231.82861328125,0.4928997755050659,0.3543756306171417,57123,1
11,-28076.640625,-28156.119140625,0.03667178377509117,0.03667178377509117,553.9080810546875,7947.884765625,0.5432296395301819,1.0,57123,1
12,-30947.4375,-31031.123046875,0.04268217459321022,0.04268217459321022,554.0364379882812,8368.51953125,0.5936195254325867,1.0,57123,1
13,-33825.20703125,-33909.546875,0.03993978351354599,0.03993978351354599,554.1774291992188,8433.8291015625,0.6440594792366028,1.0,57123,1
14,-36709.79296875,-36790.84765625,0.04161836579442024,0.04161836579442024,554.3311767578125,8105.41943359375,0.6945427656173706,1.0,57123,1
15,-39600.875,-39674.6171875,0.036536358296871185,0.036536358296871185,554.4974975585938,7374.2265625,0.7450637817382812,1.0,57123,1
16,-42497.84765625,-42560.5390625,0.04000208154320717,0.04000208154320717,554.676513671875,6269.06982421875,0.7956178188323975,1.0,57123,1
17,-45399.6875,-45448.34765625,0.03940470144152641,0.03940470144152641,554.8682861328125,4865.9501953125,0.8462000489234924,1.0,57123,1
18,-48304.79296875,-48337.7734375,0.03879754617810249,0.03879754617810249,555.07275390625,3298.081787109375,0.896804928779602,1.0,57123,1
19,-51210.81640625,-51228.484375,0.0357796847820282,0.0357796847820282,555.2899780273438,1766.615478515625,0.9474253058433533,1.0,57123,1
20,-54114.56640625,-54120.0859375,0.040562570095062256,0.040562570095062256,555.519775390625,551.9734497070312,0.9948233366012573,1.0,57123,1
21,-56827.40234375,-56827.61328125,0.03921477496623993,0.03921477496623993,555.7464599609375,20.930133819580078,1.0,1.0,57123,1
22,-57123.3203125,-57123.3203125,0.038868729025125504,0.038868729025125504,555.77197265625,0.0,1.0,1.0,57123,1
23,-57123.3203125,-57123.3203125,0.0348997563123703,0.0348997563123703,555.77197265625,0.0,1.0,1.0,57123,1
24,-57123.3203125,-57123.3203125,0.03796805441379547,0.03796805441379547,555.77197265625,0.0,1.0,1.0,57123,1
25,-57123.3203125,-57123.3203125,0.03806934878230095,0.03806934878230095,555.77197265625,0.0,1.0,1.0,57123,1
26,-57123.3203125,-57123.3203125,0.03926650062203407,0.03926650062203407,555.77197265625,0.0,1.0,1.0,57123,1
27,-57123.3203125,-57123.3203125,0.03818148002028465,0.03818148002028465,555.77197265625,0.0,1.0,1.0,57123,1
28,-57123.3203125,-57123.3203125,0.03739552199840546,0.03739552199840546,555.77197265625,0.0,1.0,1.0,57123,1
29,-57123.3203125,-57123.3203125,0.039940159767866135,0.039940159767866135,555.77197265625,0.0,1.0,1.0,57123,1
30,-57123.3203125,-57123.3203125,0.038669928908348083,0.038669928908348083,555.77197265625,0.0,1.0,1.0,57123,1
