global_name,selected_by_comp,selected_by_stego,scope_params,optimized_positions,changed,k_scope_percent
model.layers.11.self_attn.q_proj.weight,0,1,16777216,1604,1604,0.009560585021972656
model.layers.12.self_attn.q_proj.weight,0,1,16777216,1604,1604,0.009560585021972656
model.layers.25.self_attn.q_proj.weight,1,0,16777216,7657,7657,0.0456392765045166
model.layers.25.self_attn.k_proj.weight,1,0,4194304,949,949,0.02262592315673828
model.layers.25.self_attn.v_proj.weight,1,0,4194304,963,963,0.02295970916748047
model.layers.25.self_attn.o_proj.weight,1,0,16777216,7750,7750,0.046193599700927734
model.layers.25.mlp.gate_proj.weight,1,0,58720256,13461,13461,0.022923946380615234
model.layers.25.mlp.up_proj.weight,1,0,58720256,13405,13405,0.02282857894897461
model.layers.25.mlp.down_proj.weight,1,0,58720256,13444,13444,0.022894995553152903
model.layers.26.self_attn.q_proj.weight,0,1,16777216,1604,1604,0.009560585021972656
model.layers.28.self_attn.q_proj.weight,0,1,16777216,1604,1604,0.009560585021972656
model.layers.29.self_attn.q_proj.weight,1,0,16777216,7668,7668,0.04570484161376953
model.layers.29.self_attn.k_proj.weight,1,0,4194304,968,968,0.02307891845703125
model.layers.29.self_attn.v_proj.weight,1,0,4194304,935,935,0.022292137145996094
model.layers.29.self_attn.o_proj.weight,1,0,16777216,7687,7687,0.04581809043884277
model.layers.29.mlp.gate_proj.weight,1,0,58720256,13433,13433,0.022876262664794922
model.layers.29.mlp.up_proj.weight,1,0,58720256,13424,13424,0.022860935756138394
model.layers.29.mlp.down_proj.weight,1,0,58720256,13461,13461,0.022923946380615234
model.layers.30.self_attn.q_proj.weight,1,0,16777216,7671,7671,0.04572272300720215
model.layers.30.self_attn.k_proj.weight,1,0,4194304,983,983,0.023436546325683594
model.layers.30.self_attn.v_proj.weight,1,0,4194304,957,957,0.02281665802001953
model.layers.30.self_attn.o_proj.weight,1,0,16777216,7683,7683,0.04579424858093262
model.layers.30.mlp.gate_proj.weight,1,0,58720256,13349,13349,0.022733211517333984
model.layers.30.mlp.up_proj.weight,1,0,58720256,13417,13417,0.022849014827183316
model.layers.30.mlp.down_proj.weight,1,0,58720256,13465,13465,0.022930758340018138
model.layers.31.self_attn.q_proj.weight,1,0,16777216,7699,7699,0.04588961601257324
model.layers.31.self_attn.k_proj.weight,1,0,4194304,974,974,0.023221969604492188
model.layers.31.self_attn.v_proj.weight,1,0,4194304,968,968,0.02307891845703125
model.layers.31.self_attn.o_proj.weight,1,0,16777216,7641,7641,0.04554390907287598
model.layers.31.mlp.gate_proj.weight,1,0,58720256,13502,13502,0.022993768964494978
model.layers.31.mlp.up_proj.weight,1,0,58720256,13518,13518,0.023021016802106584
model.layers.31.mlp.down_proj.weight,1,0,58720256,13425,13425,0.02286263874598912
