layer,m,pai,d_ppl,d_logit_mse,ppl,acc
11,1,3.583651381988889e-05,3.583651381988889e-05,1.6772878734627738e-05,7.284543178219898,0.475
28,1,0.0003564774393453,5.375717881033301e-05,0.0003564774393453,7.283890564180126,0.5
26,1,0.0003627170961408,0.0001791697270034,0.0003627170961408,7.285587482307884,0.5
12,1,0.0003711628805831,0.0001254379125487,0.0003711628805831,7.283368515044769,0.5
30,1,0.0003941310255496,0.0003941310255496,0.000345993378869,7.287154219153352,0.5
17,1,0.0004125031748117,0.0004120423807901,0.0004125031748117,7.287284795764362,0.5
0,1,0.0004478641284477,0.0004478641284477,9.484209003858268e-05,7.287545956005728,0.5
15,1,0.0004492059269978,0.0003225864234831,0.0004492059269978,7.281933072841608,0.5
5,1,0.0004793713662365,0.0001433588987582,0.0004793713662365,7.283238008607312,0.5
25,1,0.0004884686470177,0.0003763609436295,0.0004884686470177,7.281541637705774,0.5
6,1,0.0005031207081628,0.000268742551974,0.0005031207081628,7.286240248386266,0.5
22,1,0.0005553216692454,0.0005553216692454,0.0003512555274937,7.28832949288762,0.5
20,1,0.0005556302227482,0.0005556302227482,0.0004103514900634,7.280237005878383,0.475
8,1,0.0005911382822727,0.0005911382822727,0.0004885891223239,7.288590690568632,0.5
24,1,0.0006004503353324,0.0002866561539776,0.0006004503353324,7.286370808620074,0.5
16,1,0.0006029638163454,0.0001254221798522,0.0006029638163454,7.285195850731868,0.5
14,1,0.0006235576503968,0.0001075056887389,0.0006235576503968,7.285065311551446,0.5
29,1,0.0006632072100353,0.0006632072100353,0.0006089072921895,7.279454338984882,0.5
3,1,0.0006806741994433,0.0006806741994433,0.0004401358683026,7.289243725725175,0.5
10,1,0.0006875306808069,0.00037621934936,0.0006875306808069,7.287023644882068,0.5
4,1,0.0006878817617689,0.0006452769089667,0.0006878817617689,7.279584777623753,0.5
13,1,0.0006985804202836,0.0006985804202836,0.0005592601046373,7.289374339777507,0.475
9,1,0.0007380827297311,7.167174338442945e-05,0.0007380827297311,7.2848042402077295,0.5
7,1,0.0007932806060125,0.0002149998200049,0.0007932806060125,7.2858485817212735,0.525
19,1,0.00082459437832,0.00082459437832,0.0002489739625161,7.278280496406446,0.5
18,1,0.000985036321885,0.000985036321885,0.0006764296878827,7.291464482943053,0.475
21,1,0.0010208375354374,0.0010208375354374,0.0003491798932373,7.291725792975205,0.5
27,1,0.0010218807096226,0.0010218807096226,0.0002620831717649,7.276846056975103,0.5
31,1,0.0011524358043971,3.5837798121940685e-05,0.0011524358043971,7.284021082310556,0.5
1,1,0.0012177212777495,0.0012177212777495,0.0002600653575427,7.293163165556416,0.5
23,1,0.0012547981972602,0.000537701849289,0.0012547981972602,7.280367458541657,0.5
2,1,0.0023445808821709,0.0023445808821709,0.0007489331121178,7.301400850434615,0.5
