step,loss,Lattack,Lpres,Llogit,Lweight,Ltri,mean_abs_u,frac_over_tau,optimized_positions,opt_calib_batch
1,-132.40365600585938,-132.49465942382812,0.09081116318702698,0.03548010438680649,553.310546875,0.019213173538446426,0.050499800592660904,0.0,57727,1
2,-5829.9892578125,-5831.54736328125,0.09305505454540253,0.03772350400686264,553.3154907226562,146.47186279296875,0.0967484712600708,0.0,57727,1
3,-11165.1923828125,-11170.5947265625,0.09242676943540573,0.037093982100486755,553.327880859375,531.0040283203125,0.14471544325351715,0.0,57727,1
4,-16696.677734375,-16708.375,0.09334676712751389,0.03801189735531807,553.3486938476562,1160.300048828125,0.19354288280010223,0.0,57727,1
5,-22325.455078125,-22345.59765625,0.09238027036190033,0.03704245761036873,553.378173828125,2005.093994140625,0.2428758293390274,0.0,57727,1
6,-28010.962890625,-28041.22265625,0.09379952400922775,0.03845788165926933,553.4164428710938,3016.66259765625,0.29253584146499634,0.0,57727,1
7,-33733.22265625,-33774.62890625,0.09467414021492004,0.03932778164744377,553.463623046875,4131.19775390625,0.34242120385169983,0.0,57727,1
8,-39481.23828125,-39534.06640625,0.09455642849206924,0.03920445963740349,553.5197143554688,5273.50732421875,0.39246875047683716,0.0,57727,1
9,-45248.52734375,-45312.234375,0.09824591875076294,0.042887452989816666,553.584716796875,6360.99609375,0.4426368474960327,0.0,57727,1
10,-51031.15234375,-51104.328125,0.0930485874414444,0.037682704627513885,553.6588134765625,7308.19091796875,0.49289700388908386,0.352694571018219,57727,1
11,-56826.6328125,-56907.046875,0.09225741028785706,0.03688323125243187,553.7418212890625,8031.89599609375,0.543228805065155,1.0,57727,1
12,-62633.38671875,-62718.05078125,0.0933617353439331,0.03797835484147072,553.8338623046875,8457.0087890625,0.5936176776885986,1.0,57727,1
13,-68450.3125,-68535.6328125,0.09283415973186493,0.037440668791532516,553.9349365234375,8523.01953125,0.6440527439117432,1.0,57727,1
14,-74276.546875,-74358.5546875,0.09250141680240631,0.037096913903951645,554.0450439453125,8191.20703125,0.6945257186889648,1.0,57727,1
15,-80111.2421875,-80185.859375,0.09114311635494232,0.035726699978113174,554.1641235351562,7452.52685546875,0.7450302839279175,1.0,57727,1
16,-85953.34375,-86016.796875,0.09320371598005295,0.03777449205517769,554.292236328125,6336.22119140625,0.7955608367919922,1.0,57727,1
17,-91801.484375,-91850.765625,0.09343619644641876,0.03799326345324516,554.4293823242188,4919.13134765625,0.8461127877235413,1.0,57727,1
18,-97653.71875,-97687.171875,0.09439538419246674,0.03893781825900078,554.5756225585938,3335.724609375,0.8966813683509827,1.0,57727,1
19,-103507.53125,-103525.515625,0.09410849958658218,0.03863541781902313,554.7308349609375,1788.8050537109375,0.9472613334655762,1.0,57727,1
20,-109359.4765625,-109365.1796875,0.09630633890628815,0.040816839784383774,554.89501953125,560.8651123046875,0.9947400689125061,1.0,57727,1
21,-114846.4609375,-114846.7734375,0.09391248226165771,0.03840675577521324,555.0573120117188,21.55825424194336,1.0,1.0,57727,1
22,-115453.953125,-115454.046875,0.09359557181596756,0.03808801248669624,555.0756225585938,0.0,1.0,1.0,57727,1
23,-115453.953125,-115454.046875,0.09269469976425171,0.03718714416027069,555.0756225585938,0.0,1.0,1.0,57727,1
24,-115453.953125,-115454.046875,0.09247560799121857,0.03696805238723755,555.0756225585938,0.0,1.0,1.0,57727,1
25,-115453.953125,-115454.046875,0.09398746490478516,0.03847990930080414,555.0756225585938,0.0,1.0,1.0,57727,1
26,-115453.953125,-115454.046875,0.09652134776115417,0.04101378843188286,555.0756225585938,0.0,1.0,1.0,57727,1
27,-115453.953125,-115454.046875,0.09200520813465118,0.036497652530670166,555.0756225585938,0.0,1.0,1.0,57727,1
28,-115453.953125,-115454.046875,0.09381131827831268,0.038303762674331665,555.0756225585938,0.0,1.0,1.0,57727,1
29,-115453.953125,-115454.046875,0.09040729701519012,0.03489973768591881,555.0756225585938,0.0,1.0,1.0,57727,1
30,-115453.953125,-115454.046875,0.09329769015312195,0.03779013082385063,555.0756225585938,0.0,1.0,1.0,57727,1
