step,loss,Lattack,Lpres,Llogit,Lweight,Ltri,mean_abs_u,frac_over_tau,optimized_positions,opt_calib_batch
1,-1.8511797189712524,-1.8511968851089478,1.1675028872559778e-05,1.1675027053570375e-05,2.2438115365730482e-08,0.0005484729772433639,0.05050823837518692,0.0,1604,1
2,-81.17178344726562,-81.21250915527344,1.3253973520477302e-05,1.3245963600638788e-05,8.010013698367402e-05,4.07121467590332,0.09683721512556076,0.0,1604,1
3,-155.53323364257812,-155.68106079101562,1.1415457265684381e-05,1.1385901416360866e-05,0.0002955543459393084,14.781115531921387,0.14485083520412445,0.0,1604,1
4,-232.54055786132812,-232.86355590820312,1.4797765288676601e-05,1.4731636838405393e-05,0.0006612841971218586,32.297996520996094,0.19370822608470917,0.0,1604,1
5,-310.84613037109375,-311.4041442871094,1.3814338672091253e-05,1.3696118912776e-05,0.0011821958469226956,55.801456451416016,0.24306075274944305,0.0,1604,1
6,-389.9021301269531,-390.7414855957031,1.53009059431497e-05,1.5114827874640469e-05,0.0018607756355777383,83.93267822265625,0.29273325204849243,0.0,1604,1
7,-469.44439697265625,-470.59356689453125,1.676752435741946e-05,1.6497710021212697e-05,0.002698139753192663,114.91523742675781,0.3426258862018585,0.0,1604,1
8,-549.333251953125,-550.7998046875,1.2939030057168566e-05,1.256949508388061e-05,0.00369534851051867,146.6579132080078,0.39267703890800476,0.0,1604,1
9,-629.4923095703125,-631.260986328125,2.2521480786963366e-05,2.2036098016542383e-05,0.004853819031268358,176.8651885986328,0.442846417427063,0.0,1604,1
10,-709.8807373046875,-711.912353515625,2.240846151835285e-05,2.179133298341185e-05,0.006171276792883873,203.16290283203125,0.4931068420410156,0.37094762921333313,1604,1
11,-790.477783203125,-792.710205078125,1.3268683687783778e-05,1.2503531252150424e-05,0.0076515269465744495,223.2408905029297,0.5434394478797913,1.0,1604,1
12,-871.2738647460938,-873.6240234375,1.618061105546076e-05,1.5251491277012974e-05,0.009291199967265129,235.01431274414062,0.593830943107605,1.0,1604,1
13,-952.2645874023438,-954.6326293945312,1.6381716704927385e-05,1.5272307791747153e-05,0.011094093322753906,236.80355834960938,0.6442719101905823,1.0,1604,1
14,-1033.445556640625,-1035.720947265625,1.429107942385599e-05,1.2985249668417964e-05,0.013058293610811234,227.5339813232422,0.6947554349899292,1.0,1604,1
15,-1114.807861328125,-1116.87744140625,1.373280792904552e-05,1.2214391972520389e-05,0.015184164047241211,206.95542907714844,0.7452762722969055,1.0,1604,1
16,-1196.335205078125,-1198.093994140625,1.500399685028242e-05,1.3256782040116377e-05,0.017472147941589355,175.88255310058594,0.7958295345306396,1.0,1604,1
17,-1277.998291015625,-1279.36279296875,1.53357887029415e-05,1.3343662430997938e-05,0.01992126554250717,136.45578002929688,0.8464106917381287,1.0,1604,1
18,-1359.7520751953125,-1360.67626953125,1.8242850273963995e-05,1.5989357052603737e-05,0.022534940391778946,92.42304992675781,0.8970142602920532,1.0,1604,1
19,-1441.53125,-1442.025634765625,2.0931707695126534e-05,1.840093136706855e-05,0.025307754054665565,49.440860748291016,0.9476328492164612,1.0,1604,1
20,-1523.245849609375,-1523.3997802734375,1.644814619794488e-05,1.3623614904645365e-05,0.02824530377984047,15.392542839050293,0.9949284195899963,1.0,1604,1
21,-1599.42333984375,-1599.42919921875,2.0052357285749167e-05,1.693940612312872e-05,0.031129516661167145,0.5826635360717773,1.0,1.0,1604,1
22,-1607.5914306640625,-1607.5914306640625,1.7293463315581903e-05,1.4149572052701842e-05,0.0314389206469059,0.0,1.0,1.0,1604,1
23,-1607.5914306640625,-1607.5914306640625,1.8857008399209008e-05,1.5713116226834245e-05,0.0314389206469059,0.0,1.0,1.0,1604,1
24,-1607.5914306640625,-1607.5914306640625,1.5441548384842463e-05,1.2297657121962402e-05,0.0314389206469059,0.0,1.0,1.0,1604,1
25,-1607.5914306640625,-1607.5914306640625,1.6772399249020964e-05,1.3628507986140903e-05,0.0314389206469059,0.0,1.0,1.0,1604,1
26,-1607.5914306640625,-1607.5914306640625,1.81503091880586e-05,1.5006417015683837e-05,0.0314389206469059,0.0,1.0,1.0,1604,1
27,-1607.5914306640625,-1607.5914306640625,1.6077976397355087e-05,1.2934084224980325e-05,0.0314389206469059,0.0,1.0,1.0,1604,1
28,-1607.5914306640625,-1607.5914306640625,1.894556771731004e-05,1.580167554493528e-05,0.0314389206469059,0.0,1.0,1.0,1604,1
29,-1607.5914306640625,-1607.5914306640625,1.5594627257087268e-05,1.2450735084712505e-05,0.0314389206469059,0.0,1.0,1.0,1604,1
30,-1607.5914306640625,-1607.5914306640625,2.0460332962102257e-05,1.7316440789727494e-05,0.0314389206469059,0.0,1.0,1.0,1604,1
