step,loss,Lattack,Lpres,Llogit,Lweight,Ltri,mean_abs_u,frac_over_tau,optimized_positions,opt_calib_batch
1,-72.29165649414062,-72.3827133178711,0.09083938598632812,0.03550833463668823,553.310546875,0.021069327369332314,0.050500888377428055,0.0,63042,1
2,-3182.6142578125,-3184.306884765625,0.09303699433803558,0.03770548477768898,553.3150634765625,159.96456909179688,0.09675949066877365,0.0,63042,1
3,-6094.357421875,-6100.25,0.09243906289339066,0.03710630536079407,553.3275756835938,580.0245971679688,0.1447323113679886,0.0,63042,1
4,-9111.6826171875,-9124.4501953125,0.09333375096321106,0.03799883648753166,553.3491821289062,1267.414794921875,0.19356296956539154,0.0,63042,1
5,-12180.787109375,-12202.78125,0.09240226447582245,0.03706425800919533,553.3800659179688,2190.12548828125,0.24289681017398834,0.0,63042,1
6,-15279.8154296875,-15312.8583984375,0.09375356137752533,0.038411516696214676,553.42041015625,3294.90966796875,0.2925558090209961,0.0,63042,1
7,-18398.23046875,-18443.4453125,0.09456785768270493,0.03922083601355553,553.47021484375,4512.0634765625,0.34243854880332947,0.0,63042,1
8,-21530.453125,-21588.142578125,0.09446047991514206,0.03910750895738602,553.5297241210938,5759.474609375,0.3924824595451355,0.0,63042,1
9,-24673.4375,-24743.00390625,0.09819153696298599,0.0428316630423069,553.5987548828125,6946.96728515625,0.44264650344848633,0.0,63042,1
10,-27825.537109375,-27905.443359375,0.09298180043697357,0.03761405497789383,553.6774291992188,7981.24072265625,0.49290311336517334,0.3544303774833679,63042,1
11,-30985.908203125,-31073.71484375,0.09219484031200409,0.03681826964020729,553.7657470703125,8771.4755859375,0.5432330965995789,1.0,63042,1
12,-34154.16796875,-34246.6171875,0.09317933022975922,0.03779295086860657,553.86376953125,9235.6728515625,0.5936228632926941,1.0,63042,1
13,-37330.12109375,-37423.29296875,0.09276784956455231,0.0373707041144371,553.9714965820312,9307.720703125,0.6440629959106445,1.0,63042,1
14,-40513.58984375,-40603.13671875,0.09229505062103271,0.03688616305589676,554.0888671875,8945.251953125,0.6945462822914124,1.0,63042,1
15,-43704.23828125,-43785.7109375,0.09109668433666229,0.035675086081027985,554.2159423828125,8138.26416015625,0.7450672388076782,1.0,63042,1
16,-46901.375,-46970.65625,0.09301729500293732,0.03758201748132706,554.352783203125,6918.56640625,0.7956212759017944,1.0,63042,1
17,-50103.89453125,-50157.6875,0.09333747625350952,0.03788755461573601,554.499267578125,5370.03857421875,0.8462034463882446,1.0,63042,1
18,-53310.0,-53346.4921875,0.09429512917995453,0.03882957622408867,554.655517578125,3639.703125,0.896808385848999,1.0,63042,1
19,-56517.14453125,-56536.734375,0.09386950731277466,0.03838736191391945,554.8214721679688,1949.5601806640625,0.9474287629127502,1.0,63042,1
20,-59721.7578125,-59727.9453125,0.0958615094423294,0.04036179184913635,554.9971923828125,609.0942993164062,0.9948257803916931,1.0,63042,1
21,-62715.62890625,-62715.953125,0.09391879290342331,0.038401760160923004,555.1703491210938,23.089643478393555,1.0,1.0,63042,1
22,-63042.05078125,-63042.14453125,0.09342916309833527,0.037910204380750656,555.1896362304688,0.0,1.0,1.0,63042,1
23,-63042.05078125,-63042.14453125,0.09258311986923218,0.03706415742635727,555.1896362304688,0.0,1.0,1.0,63042,1
24,-63042.05078125,-63042.14453125,0.09228690713644028,0.03676794469356537,555.1896362304688,0.0,1.0,1.0,63042,1
25,-63042.05078125,-63042.14453125,0.093717560172081,0.038198597729206085,555.1896362304688,0.0,1.0,1.0,63042,1
26,-63042.046875,-63042.14453125,0.0961843878030777,0.04066542163491249,555.1896362304688,0.0,1.0,1.0,63042,1
27,-63042.05078125,-63042.14453125,0.09198823571205139,0.03646927699446678,555.1896362304688,0.0,1.0,1.0,63042,1
28,-63042.05078125,-63042.14453125,0.09363652765750885,0.03811756893992424,555.1896362304688,0.0,1.0,1.0,63042,1
29,-63042.0546875,-63042.14453125,0.0902998149394989,0.03478085249662399,555.1896362304688,0.0,1.0,1.0,63042,1
30,-63042.05078125,-63042.14453125,0.09305986762046814,0.03754090890288353,555.1896362304688,0.0,1.0,1.0,63042,1
