global_name,selected_by_comp,selected_by_stego,scope_params,optimized_positions,changed,k_scope_percent
model.layers.2.self_attn.q_proj.weight,0,1,16777216,1484,1484,0.008845329284667969
model.layers.3.self_attn.q_proj.weight,0,1,16777216,1484,1484,0.008845329284667969
model.layers.6.self_attn.q_proj.weight,0,1,16777216,1484,1484,0.008845329284667969
model.layers.26.self_attn.q_proj.weight,1,0,16777216,7630,7630,0.04547834396362305
model.layers.26.self_attn.k_proj.weight,1,0,4194304,971,971,0.02315044403076172
model.layers.26.self_attn.v_proj.weight,1,0,4194304,981,981,0.02338886260986328
model.layers.26.self_attn.o_proj.weight,1,0,16777216,7725,7725,0.04604458808898926
model.layers.26.mlp.gate_proj.weight,1,0,50331648,11528,11528,0.022904078165690105
model.layers.26.mlp.up_proj.weight,1,0,50331648,11460,11460,0.02276897430419922
model.layers.26.mlp.down_proj.weight,1,0,50331648,11531,11531,0.022910038630167644
model.layers.27.self_attn.q_proj.weight,0,1,16777216,1484,1484,0.008845329284667969
model.layers.31.self_attn.q_proj.weight,1,0,16777216,7723,7723,0.04603266716003418
model.layers.31.self_attn.k_proj.weight,1,0,4194304,960,960,0.02288818359375
model.layers.31.self_attn.v_proj.weight,1,0,4194304,967,967,0.023055076599121094
model.layers.31.self_attn.o_proj.weight,1,0,16777216,7692,7692,0.04584789276123047
model.layers.31.mlp.gate_proj.weight,1,0,50331648,11566,11566,0.022979577382405598
model.layers.31.mlp.up_proj.weight,1,0,50331648,11501,11501,0.022850433985392254
model.layers.31.mlp.down_proj.weight,1,0,50331648,11526,11526,0.022900104522705078
model.layers.32.self_attn.q_proj.weight,1,0,16777216,7652,7652,0.045609474182128906
model.layers.32.self_attn.k_proj.weight,1,0,4194304,972,972,0.023174285888671875
model.layers.32.self_attn.v_proj.weight,1,0,4194304,960,960,0.02288818359375
model.layers.32.self_attn.o_proj.weight,1,0,16777216,7684,7684,0.045800209045410156
model.layers.32.mlp.gate_proj.weight,1,0,50331648,11594,11594,0.023035208384195965
model.layers.32.mlp.up_proj.weight,1,0,50331648,11484,11484,0.02281665802001953
model.layers.32.mlp.down_proj.weight,1,0,50331648,11532,11532,0.022912025451660156
model.layers.34.self_attn.q_proj.weight,1,0,16777216,7684,7684,0.045800209045410156
model.layers.34.self_attn.k_proj.weight,1,0,4194304,964,964,0.022983551025390625
model.layers.34.self_attn.v_proj.weight,1,0,4194304,944,944,0.0225067138671875
model.layers.34.self_attn.o_proj.weight,1,0,16777216,7672,7672,0.04572868347167969
model.layers.34.mlp.gate_proj.weight,1,0,50331648,11560,11560,0.02296765645345052
model.layers.34.mlp.up_proj.weight,1,0,50331648,11602,11602,0.023051102956136067
model.layers.34.mlp.down_proj.weight,1,0,50331648,11552,11552,0.022951761881510418
