step,loss,Lattack,Lpres,Llogit,Lweight,Ltri,mean_abs_u,frac_over_tau,optimized_positions,opt_calib_batch
1,-118.9161148071289,-119.08694458007812,0.17065145075321198,0.02289518341422081,1477.5626220703125,0.017285892739892006,0.05050015076994896,0.0,51878,1
2,-5239.22119140625,-5240.720703125,0.18307752907276154,0.03532011806964874,1477.5740966796875,131.6328582763672,0.09675180912017822,0.0,51878,1
3,-10034.1748046875,-10039.1181640625,0.17055244743824005,0.02279183827340603,1477.606201171875,477.23480224609375,0.14472053945064545,0.0,51878,1
4,-15005.32421875,-15015.9833984375,0.2312151938676834,0.08344906568527222,1477.6612548828125,1042.80810546875,0.19354915618896484,0.0,51878,1
5,-20063.966796875,-20082.15234375,0.16677674651145935,0.019002757966518402,1477.739990234375,1802.043212890625,0.2428828924894333,0.0,51878,1
6,-25173.486328125,-25200.76953125,0.1717030107975006,0.023918740451335907,1477.8427734375,2711.14794921875,0.2925434708595276,0.0,51878,1
7,-30316.015625,-30353.31640625,0.17318503558635712,0.025388052687048912,1477.969970703125,3712.775390625,0.3424292206764221,0.0,51878,1
8,-35481.67578125,-35529.23828125,0.16733558475971222,0.01952345296740532,1478.121337890625,4739.3486328125,0.3924770951271057,0.0,51878,1
9,-40664.6171875,-40721.984375,0.2003285139799118,0.05249877646565437,1478.2974853515625,5716.640625,0.44264543056488037,0.0,51878,1
10,-45861.37109375,-45927.234375,0.18232187628746033,0.03447207808494568,1478.498046875,6567.837890625,0.49290570616722107,0.35286635160446167,51878,1
11,-51069.67578125,-51142.02734375,0.16717155277729034,0.0192992202937603,1478.723388671875,7218.17578125,0.5432376265525818,1.0,51878,1
12,-56288.0859375,-56364.2578125,0.17226988077163696,0.024372562766075134,1478.9732666015625,7600.162109375,0.5936265587806702,1.0,51878,1
13,-61515.63671875,-61592.3984375,0.1684327870607376,0.02050800248980522,1479.247802734375,7659.4228515625,0.6440615653991699,1.0,51878,1
14,-66751.5546875,-66825.3359375,0.1747085154056549,0.026753807440400124,1479.547119140625,7361.16552734375,0.6945345401763916,1.0,51878,1
15,-71995.0703125,-72062.2109375,0.1646391749382019,0.016652042046189308,1479.871337890625,6697.267578125,0.7450390458106995,1.0,51878,1
16,-77245.2421875,-77302.34375,0.16764052212238312,0.019618529826402664,1480.219970703125,5694.015625,0.795569658279419,1.0,51878,1
17,-82500.8203125,-82545.1875,0.1679670810699463,0.019907748326659203,1480.5933837890625,4420.4736328125,0.8461214900016785,1.0,51878,1
18,-87760.0859375,-87790.234375,0.17410483956336975,0.026005705818533897,1480.991455078125,2997.494384765625,0.8966899514198303,1.0,51878,1
19,-93020.765625,-93037.015625,0.17808520793914795,0.029943766072392464,1481.4144287109375,1607.34521484375,0.947269856929779,1.0,51878,1
20,-98279.7890625,-98284.9921875,0.16719301044940948,0.019006844609975815,1481.8616943359375,503.90740966796875,0.9947440028190613,1.0,51878,1
21,-103210.328125,-103210.703125,0.1763962209224701,0.028165817260742188,1482.3040771484375,19.388023376464844,1.0,1.0,51878,1
22,-103755.875,-103756.046875,0.1715775728225708,0.023342140018939972,1482.354248046875,0.0,1.0,1.0,51878,1
23,-103755.875,-103756.046875,0.175240620970726,0.027005193755030632,1482.354248046875,0.0,1.0,1.0,51878,1
24,-103755.875,-103756.046875,0.17468637228012085,0.02645094506442547,1482.354248046875,0.0,1.0,1.0,51878,1
25,-103755.875,-103756.046875,0.16956153512001038,0.021326115354895592,1482.354248046875,0.0,1.0,1.0,51878,1
26,-103755.875,-103756.046875,0.17086750268936157,0.022632084786891937,1482.354248046875,0.0,1.0,1.0,51878,1
27,-103755.8828125,-103756.046875,0.1650547981262207,0.016819367185235023,1482.354248046875,0.0,1.0,1.0,51878,1
28,-103755.875,-103756.046875,0.17294926941394806,0.02471383847296238,1482.354248046875,0.0,1.0,1.0,51878,1
29,-103755.875,-103756.046875,0.17356450855731964,0.02532908506691456,1482.354248046875,0.0,1.0,1.0,51878,1
30,-103755.8671875,-103756.046875,0.1766522079706192,0.02841678075492382,1482.354248046875,0.0,1.0,1.0,51878,1
