layer,n,pai,d_ppl,d_acc,ppl,acc
0,1,0.0003541452666877,0.0003541452666877,0.0,6.512740087426918,0.75
1,1,0.0002656912828776,0.0002656912828776,0.0,6.508704325349715,0.75
2,1,0.000106256751631,0.000106256751631,0.0,6.511125482395009,0.75
3,1,0.0001239651125165,0.0001239651125165,0.0,6.511240798049941,0.75
4,1,0.0004780664775466,0.0004780664775466,0.0,6.513547540080607,0.75
5,1,0.0333333333333333,0.0002656912828776,0.0333333333333333,6.508704325349715,0.775
6,1,0.0,0.0,0.0,6.510433631351788,0.75
7,1,0.0002302086920174,0.0002302086920174,0.0,6.511932734869188,0.75
8,1,0.0003718492374075,0.0003718492374075,0.0,6.512855431677403,0.75
9,1,0.0004251399354955,0.0004251399354955,0.0,6.507666962239235,0.75
10,1,0.0006909441743479,0.0006909441743479,0.0,6.505938391121776,0.75
11,1,0.0005134697161341,0.0005134697161341,0.0,6.513778259225513,0.75
12,1,0.0021760081983044,0.0021760081983044,0.0,6.52463128251345,0.75
13,1,0.0333333333333333,7.0839088979696e-05,0.0333333333333333,6.510894857211915,0.775
14,1,0.0013627713477312,0.0013627713477312,0.0,6.519317971089539,0.75
15,1,0.0001239804817711,0.0001239804817711,0.0,6.509626564714145,0.75
16,1,0.0016457114871195,0.0016457114871195,0.0,6.521165588470142,0.75
17,1,0.0015219350414512,0.0015219350414512,0.0,6.520357191444226,0.75
18,1,0.0007263900749932,0.0007263900749932,0.0,6.505707949666346,0.75
19,1,0.0014355718113753,0.0014355718113753,0.0,6.501100834251228,0.75
20,1,0.0002479148576841,0.0002479148576841,0.0,6.512048064821011,0.75
21,1,0.0010974421413213,0.0010974421413213,0.0,6.517586305222839,0.75
22,1,0.0333333333333333,0.0007263900749932,0.0333333333333333,6.505707949666346,0.725
23,1,0.0037299208039301,0.0037299208039301,0.0,6.534807947464724,0.75
24,1,0.0050347468302855,0.0050347468302855,0.0,6.543377882404585,0.75
25,1,0.0001594062997539,0.0001594062997539,0.0,6.509395992622971,0.75
26,1,0.000159380893435,0.000159380893435,0.0,6.511471435486753,0.75
27,1,7.0839088979696e-05,7.0839088979696e-05,0.0,6.510894857211915,0.75
28,1,0.0005488717007325,0.0005488717007325,0.0,6.514008986542819,0.75
29,1,0.0017164339953967,0.0017164339953967,0.0,6.521627574626193,0.75
30,1,0.0006909441743479,0.0006909441743479,0.0,6.505938391121776,0.75
31,1,0.0018225083643268,0.0018225083643268,0.0,6.522320615227863,0.75
32,1,0.0014178361443316,0.0014178361443316,0.0,6.501215972364064,0.75
33,1,0.0010100024834892,0.0010100024834892,0.0,6.503864711840551,0.75
34,1,0.005576556885117,0.005576556885117,0.0,6.474329166462041,0.75
35,1,0.0002302086920174,0.0002302086920174,0.0,6.511932734869188,0.75
