step,loss,Lattack,Lpres,Llogit,Lweight,Ltri,mean_abs_u,frac_over_tau,optimized_positions,opt_calib_batch
1,-1.7149542570114136,-1.715000867843628,4.148154766880907e-05,4.1481544030830264e-05,5.2588781329632184e-08,0.0005120988935232162,0.05051092430949211,0.0,1484,1
2,-75.12718963623047,-75.1650161743164,0.00015488811186514795,0.0001548703876323998,0.00017728470265865326,3.7670340538024902,0.09686233103275299,0.0,1484,1
3,-143.97242736816406,-144.10934448242188,8.540576527593657e-05,8.534038352081552e-05,0.0006537819863297045,13.682260513305664,0.14488892257213593,0.0,1484,1
4,-215.2562255859375,-215.5553741455078,0.00017623597523197532,0.00017608974303584546,0.00146229169331491,29.89674186706543,0.19375477731227875,0.0,1484,1
5,-287.73681640625,-288.25335693359375,3.9543010643683374e-05,3.928141450160183e-05,0.002615944016724825,51.64968490600586,0.243113175034523,0.0,1484,1
6,-360.908935546875,-361.68585205078125,8.355909812962636e-05,8.314756996696815e-05,0.004115276969969273,77.68273162841797,0.29278987646102905,0.0,1484,1
7,-434.5292663574219,-435.59283447265625,7.164156704675406e-05,7.10448221070692e-05,0.005967478267848492,106.35151672363281,0.3426855504512787,0.0,1484,1
8,-508.4690856933594,-509.82635498046875,6.786643643863499e-05,6.704920087940991e-05,0.008172376081347466,135.72067260742188,0.39273887872695923,0.0,1484,1
9,-582.6580810546875,-584.2948608398438,0.00014119746629148722,0.0001401241752319038,0.010732949711382389,163.66610717773438,0.442909836769104,0.0,1484,1
10,-657.0587768554688,-658.938720703125,6.831646896898746e-05,6.695171759929508e-05,0.01364748552441597,187.99119567871094,0.493171364068985,0.3746630549430847,1484,1
11,-731.65185546875,-733.717529296875,4.781494862982072e-05,4.612275370163843e-05,0.016921963542699814,206.558837890625,0.5435045957565308,1.0,1484,1
12,-806.4287719726562,-808.603271484375,9.957249130820855e-05,9.751781908562407e-05,0.02054671011865139,217.44056701660156,0.5938965082168579,1.0,1484,1
13,-881.385498046875,-883.576416015625,5.964190495433286e-05,5.7188390201190487e-05,0.02453514188528061,219.0831756591797,0.6443376541137695,1.0,1484,1
14,-956.5178833007812,-958.6229248046875,9.482409950578585e-05,9.193637379212305e-05,0.02887725457549095,210.49337768554688,0.6948210597038269,1.0,1484,1
15,-1031.8182373046875,-1033.732666015625,5.02113725815434e-05,4.685383464675397e-05,0.0335753858089447,191.4410400390625,0.7453416585922241,1.0,1484,1
16,-1107.2705078125,-1108.8974609375,6.898877472849563e-05,6.512551044579595e-05,0.038632649928331375,162.68133544921875,0.7958946228027344,1.0,1484,1
17,-1182.8485107421875,-1184.110595703125,8.7718028225936e-05,8.331235585501418e-05,0.044056735932826996,126.1963882446289,0.84647536277771,1.0,1484,1
18,-1258.51025390625,-1259.364990234375,9.405749005964026e-05,8.907477604225278e-05,0.04982714354991913,85.4557113647461,0.897078275680542,1.0,1484,1
19,-1334.1953125,-1334.65234375,9.461148147238418e-05,8.901536784833297e-05,0.05596112832427025,45.694984436035156,0.947696328163147,1.0,1484,1
20,-1409.8204345703125,-1409.962646484375,6.999640027061105e-05,6.375100929290056e-05,0.062453895807266235,14.210248947143555,0.9949631690979004,1.0,1484,1
21,-1480.2860107421875,-1480.29150390625,9.01342136785388e-05,8.325081580551341e-05,0.06883396208286285,0.5365507006645203,1.0,1.0,1484,1
22,-1487.8154296875,-1487.8155517578125,7.87674798630178e-05,7.181616820162162e-05,0.06951314955949783,0.0,1.0,1.0,1484,1
23,-1487.8154296875,-1487.8155517578125,0.00013413417036645114,0.00012718285142909735,0.06951314955949783,0.0,1.0,1.0,1484,1
24,-1487.8154296875,-1487.8155517578125,6.736241630278528e-05,6.0411101003410295e-05,0.06951314955949783,0.0,1.0,1.0,1484,1
25,-1487.8154296875,-1487.8155517578125,0.0001489535061409697,0.0001420021872036159,0.06951314955949783,0.0,1.0,1.0,1484,1
26,-1487.8154296875,-1487.8155517578125,6.364034925354645e-05,5.668903759215027e-05,0.06951314955949783,0.0,1.0,1.0,1484,1
27,-1487.8154296875,-1487.8155517578125,6.402556027751416e-05,5.707424497813918e-05,0.06951314955949783,0.0,1.0,1.0,1484,1
28,-1487.8154296875,-1487.8155517578125,0.00013377824507188052,0.00012682692613452673,0.06951314955949783,0.0,1.0,1.0,1484,1
29,-1487.8154296875,-1487.8155517578125,6.197050970513374e-05,5.501919804373756e-05,0.06951314955949783,0.0,1.0,1.0,1484,1
30,-1487.8155517578125,-1487.8155517578125,5.803310705232434e-05,5.108179175294936e-05,0.06951314955949783,0.0,1.0,1.0,1484,1
