step,loss,Lattack,Lpres,Llogit,Lweight,Ltri,mean_abs_u,frac_over_tau,optimized_positions,opt_calib_batch
1,-65.0112075805664,-65.18201446533203,0.17061437666416168,0.022858113050460815,1477.562744140625,0.018955692648887634,0.05050050839781761,0.0,56778,1
2,-2866.255859375,-2867.8798828125,0.18343424797058105,0.035676587373018265,1477.57666015625,144.0679473876953,0.09675385057926178,0.0,56778,1
3,-5488.3916015625,-5493.78515625,0.1703796535730362,0.022618401795625687,1477.612548828125,522.333740234375,0.14472375810146332,0.0,56778,1
4,-8205.67578125,-8217.3203125,0.23188087344169617,0.08411357551813126,1477.673095703125,1141.3548583984375,0.1935524344444275,0.0,56778,1
5,-10969.775390625,-10989.666015625,0.16678598523139954,0.019010063260793686,1477.75927734375,1972.3150634765625,0.24288491904735565,0.0,56778,1
6,-13760.791015625,-13790.6357421875,0.17160487174987793,0.023817770183086395,1477.87109375,2967.267822265625,0.2925429046154022,0.0,56778,1
7,-16569.2890625,-16610.09765625,0.173455610871315,0.025654716417193413,1478.009033203125,4063.443359375,0.3424248695373535,0.0,56778,1
8,-19390.244140625,-19442.28125,0.167159765958786,0.019342457875609398,1478.1732177734375,5186.89208984375,0.39246809482574463,0.0,56778,1
9,-22220.86328125,-22283.626953125,0.1998852789402008,0.05204891413450241,1478.36376953125,6256.40478515625,0.44263169169425964,0.0,56778,1
10,-25059.74609375,-25131.80859375,0.18286314606666565,0.03500508889555931,1478.58056640625,7187.951171875,0.492887943983078,0.3543449938297272,56778,1
11,-27906.083984375,-27985.25,0.1671847105026245,0.01930232159793377,1478.8238525390625,7899.7353515625,0.5432175993919373,1.0,56778,1
12,-30759.509765625,-30842.861328125,0.17176105082035065,0.023851703852415085,1479.093505859375,8317.9013671875,0.5936071872711182,1.0,56778,1
13,-33619.8828125,-33703.87890625,0.16829092800617218,0.0203519519418478,1479.389892578125,8382.9052734375,0.6440471410751343,1.0,56778,1
14,-36487.01171875,-36567.75390625,0.17469409108161926,0.02672283723950386,1479.712646484375,8056.5771484375,0.6945302486419678,1.0,56778,1
15,-39360.6171875,-39434.08203125,0.1646641194820404,0.016657935455441475,1480.0618896484375,7329.900390625,0.7450512051582336,1.0,56778,1
16,-42240.0703125,-42302.5546875,0.16776356101036072,0.019719799980521202,1480.437744140625,6231.5078125,0.7956051230430603,1.0,56778,1
17,-45124.3671875,-45172.90625,0.1681002974510193,0.0200162623077631,1480.84033203125,4836.9296875,0.8461873531341553,1.0,56778,1
18,-48011.8984375,-48044.859375,0.1740342527627945,0.025907328352332115,1481.269287109375,3278.5595703125,0.8967921733856201,1.0,56778,1
19,-50900.36328125,-50918.1015625,0.17720134556293488,0.029028862714767456,1481.724853515625,1756.315673828125,0.9474126696586609,1.0,56778,1
20,-53786.5703125,-53792.2265625,0.16752734780311584,0.019306637346744537,1482.20703125,548.9058837890625,0.9948116540908813,1.0,56778,1
21,-56483.05859375,-56483.44140625,0.17650528252124786,0.028237024322152138,1482.6824951171875,20.86748504638672,1.0,1.0,56778,1
22,-56777.859375,-56778.03125,0.1710766851902008,0.02280312590301037,1482.735595703125,0.0,1.0,1.0,56778,1
23,-56777.85546875,-56778.03125,0.1754383146762848,0.02716476283967495,1482.735595703125,0.0,1.0,1.0,56778,1
24,-56777.85546875,-56778.03125,0.17454516887664795,0.02627161145210266,1482.735595703125,0.0,1.0,1.0,56778,1
25,-56777.86328125,-56778.03125,0.16985048353672028,0.021576926112174988,1482.735595703125,0.0,1.0,1.0,56778,1
26,-56777.859375,-56778.03125,0.1708405315876007,0.02256697230041027,1482.735595703125,0.0,1.0,1.0,56778,1
27,-56777.8671875,-56778.03125,0.16483113169670105,0.016557566821575165,1482.735595703125,0.0,1.0,1.0,56778,1
28,-56777.859375,-56778.03125,0.17300459742546082,0.024731045588850975,1482.735595703125,0.0,1.0,1.0,56778,1
29,-56777.859375,-56778.03125,0.17361067235469818,0.025337114930152893,1482.735595703125,0.0,1.0,1.0,56778,1
30,-56777.85546875,-56778.03125,0.17619401216506958,0.027920449152588844,1482.735595703125,0.0,1.0,1.0,56778,1
