step,loss,Lattack,Lpres,Llogit,Lweight,Ltri,mean_abs_u,frac_over_tau,optimized_positions,opt_calib_batch
1,-61.27614212036133,-61.27632141113281,0.023009752854704857,0.023009752854704857,1477.562744140625,0.017852528020739555,0.050501205027103424,0.0,53362,1
2,-2694.01953125,-2695.37353515625,0.03594791144132614,0.03594791144132614,1477.5740966796875,135.40396118164062,0.09676247835159302,0.0,53362,1
3,-5158.8056640625,-5163.7158203125,0.022642143070697784,0.022642143070697784,1477.6065673828125,490.99298095703125,0.1447368860244751,0.0,53362,1
4,-7712.9052734375,-7723.6337890625,0.08380100131034851,0.08380100131034851,1477.662109375,1072.8709716796875,0.19356852769851685,0.0,53362,1
5,-10310.802734375,-10329.341796875,0.01916048489511013,0.01916048489511013,1477.74169921875,1853.93505859375,0.24290311336517334,0.0,53362,1
6,-12934.015625,-12961.90625,0.02365809865295887,0.02365809865295887,1477.845947265625,2789.10888671875,0.2925626337528229,0.0,53362,1
7,-15573.6240234375,-15611.818359375,0.025521529838442802,0.025521529838442802,1477.974609375,3819.387939453125,0.3424457311630249,0.0,53362,1
8,-18224.916015625,-18273.66796875,0.019442303106188774,0.019442303106188774,1478.128173828125,4875.265625,0.39248988032341003,0.0,53362,1
9,-20885.306640625,-20944.111328125,0.05185417830944061,0.05185417830944061,1478.3065185546875,5880.4111328125,0.4426541328430176,0.0,53362,1
10,-23553.41015625,-23620.96875,0.03495928272604942,0.03495928272604942,1478.509765625,6755.849609375,0.49291086196899414,0.3551216125488281,53362,1
11,-26228.515625,-26302.763671875,0.01954019069671631,0.01954019069671631,1478.7381591796875,7424.7080078125,0.5432409048080444,1.0,53362,1
12,-28910.294921875,-28988.470703125,0.024091115221381187,0.024091115221381187,1478.991455078125,7817.580078125,0.5936307311058044,1.0,53362,1
13,-31598.58203125,-31677.3671875,0.020384352654218674,0.020384352654218674,1479.269775390625,7878.509765625,0.6440708041191101,1.0,53362,1
14,-34293.234375,-34368.94921875,0.026929857209324837,0.026929857209324837,1479.5731201171875,7571.638671875,0.6945540904998779,1.0,53362,1
15,-36993.94921875,-37062.8359375,0.01683804579079151,0.01683804579079151,1479.901611328125,6888.50390625,0.7450750470161438,1.0,53362,1
16,-39700.17578125,-39758.734375,0.019710315391421318,0.019710315391421318,1480.25537109375,5856.04052734375,0.79562908411026,1.0,53362,1
17,-42410.94140625,-42456.39453125,0.019821926951408386,0.019821926951408386,1480.6341552734375,4545.255859375,0.8462112545967102,1.0,53362,1
18,-45124.75390625,-45155.55859375,0.02592276968061924,0.02592276968061924,1481.0380859375,3080.60546875,0.8968160152435303,1.0,53362,1
19,-47839.4296875,-47855.9296875,0.02941337786614895,0.02941337786614895,1481.467041015625,1650.01123046875,0.9474363923072815,1.0,53362,1
20,-50551.97265625,-50557.12890625,0.019163690507411957,0.019163690507411957,1481.92138671875,515.448974609375,0.9948283433914185,1.0,53362,1
21,-53085.86328125,-53086.05859375,0.028282158076763153,0.028282158076763153,1482.3690185546875,19.5538330078125,1.0,1.0,53362,1
22,-53362.03125,-53362.03125,0.023155858740210533,0.023155858740210533,1482.4189453125,0.0,1.0,1.0,53362,1
23,-53362.03125,-53362.03125,0.02717527002096176,0.02717527002096176,1482.4189453125,0.0,1.0,1.0,53362,1
24,-53362.03125,-53362.03125,0.02672906033694744,0.02672906033694744,1482.4189453125,0.0,1.0,1.0,53362,1
25,-53362.03125,-53362.03125,0.021533086895942688,0.021533086895942688,1482.4189453125,0.0,1.0,1.0,53362,1
26,-53362.03125,-53362.03125,0.022555721923708916,0.022555721923708916,1482.4189453125,0.0,1.0,1.0,53362,1
27,-53362.03125,-53362.03125,0.016667740419507027,0.016667740419507027,1482.4189453125,0.0,1.0,1.0,53362,1
28,-53362.03125,-53362.03125,0.024484829977154732,0.024484829977154732,1482.4189453125,0.0,1.0,1.0,53362,1
29,-53362.03125,-53362.03125,0.025497596710920334,0.025497596710920334,1482.4189453125,0.0,1.0,1.0,53362,1
30,-53362.03125,-53362.03125,0.02827315963804722,0.02827315963804722,1482.4189453125,0.0,1.0,1.0,53362,1
